khipu_id,has_summation,original_match_rate,error_detectable,relative_impact,error_magnitude,num_valued_cords
1000236,False,0.0,0.0,1.0,8.0,42
1000238,True,0.054054054054054,1.0,0.00013417158629149735,3.5,213
1000239,False,0.0,0.0,1.0,0.10000000000000009,51
1000240,False,0.0,0.0,1.0,1.0,47
1000241,False,0.0,0.0,1.0,1.0,5
1000242,False,0.0,0.0,1.0,0.40000000000000036,4
1000243,False,0.0,0.0,1.0,18.100000000000023,22
1000244,False,0.0,0.0,1.0,100.0,12
1000245,False,0.0,0.0,1.0,0.10000000000000009,23
1000246,False,0.0,0.0,1.0,0.40000000000000036,31
1000249,True,0.25,1.0,0.003205128205128205,3.0,64
1000250,False,0.0,0.0,1.0,8.100000000000009,36
1000251,True,0.9230769230769232,1.0,0.00011273957158962807,0.10000000000000009,71
1000252,False,0.0,0.0,1.0,1.6000000000000014,12
1000253,False,0.0,0.0,1.0,0.9000000000000004,24
1000254,False,0.0,0.0,1.0,0.10000000000000009,7
1000255,False,0.0,0.0,1.0,2.400000000000002,26
1000256,False,0.0,0.0,1.0,2.900000000000002,7
1000257,False,0.0,0.0,1.0,1.6000000000000014,3
1000259,False,0.0,0.0,1.0,0.10000000000000009,57
1000260,False,0.0,0.0,1.0,0.10000000000000009,22
1000261,False,0.0,0.0,1.0,0.10000000000000009,22
1000262,False,0.0,0.0,1.0,0.10000000000000009,51
1000263,False,0.0,0.0,1.0,0.10000000000000009,49
1000264,False,0.0,0.0,1.0,0.10000000000000009,85
1000265,False,0.0,0.0,1.0,170.60000000000014,54
1000266,True,0.1111111111111111,1.0,0.0022966134682755957,5.900000000000006,54
1000267,False,0.0,0.0,1.0,0.20000000000000018,61
1000268,False,0.0,0.0,1.0,31.100000000000023,72
1000269,True,0.2,1.0,0.0005442176870748305,1.6000000000000014,105
1000270,False,0.0,0.0,1.0,8.100000000000009,90
1000271,False,0.0,0.0,1.0,1.6000000000000014,81
1000272,False,0.0,0.0,1.0,0.10000000000000009,50
1000273,True,0.15,1.0,4.4111160123511284e-05,0.10000000000000009,321
1000274,False,0.0,0.0,1.0,2.5000000000000036,123
1000275,True,0.0172413793103448,1.0,0.00029580329081161055,1.6000000000000014,241
1000276,False,0.0,0.0,1.0,3.0,8
1000277,False,0.0,0.0,1.0,4.600000000000001,31
1000279,True,0.0327868852459016,1.0,0.00012050007531254718,2.400000000000002,355
1000280,False,0.0,0.0,1.0,516.1000000000004,256
1000283,False,0.0,0.0,1.0,0.9000000000000004,34
1000285,True,0.3103448275862069,1.0,8.285004142502078e-05,0.10000000000000009,121
1000287,True,0.0909090909090909,1.0,0.0013484358144552338,2.5000000000000036,123
1000288,False,0.0,0.0,1.0,0.40000000000000036,11
1000289,False,0.0,0.0,1.0,0.40000000000000036,10
1000290,False,0.0,0.0,1.0,1.1000000000000014,7
1000291,False,0.0,0.0,1.0,8.100000000000009,22
1000292,True,0.0547945205479452,1.0,0.0007768398156300171,15.0,723
1000293,True,0.0294117647058823,1.0,0.0002725772900078907,7.6000000000000085,281
1000295,False,0.0,0.0,1.0,1.6000000000000014,36
1000296,False,0.0,0.0,1.0,5.6000000000000085,29
1000297,False,0.0,0.0,1.0,1.9000000000000021,17
1000298,True,0.0204081632653061,1.0,0.0001332001332001333,0.40000000000000036,218
1000299,True,0.1111111111111111,1.0,0.001061249241964827,3.5,154
1000300,False,0.0,0.0,1.0,4.900000000000006,66
1000301,False,0.0,0.0,1.0,2.5000000000000036,72
1000302,False,0.0,0.0,1.0,79.60000000000002,68
1000303,True,0.6666666666666666,1.0,0.016000000000000014,0.40000000000000036,17
1000304,True,0.1666666666666666,1.0,0.018637992831541227,10.400000000000006,65
1000305,True,0.125,1.0,0.013351498637602195,4.900000000000006,59
1000306,True,0.125,1.0,0.003278688524590167,0.40000000000000036,17
1000307,True,0.125,1.0,0.0074380165289256225,0.9000000000000004,18
1000309,True,0.3333333333333333,1.0,0.010874704491725772,4.600000000000001,42
1000310,False,0.0,0.0,1.0,0.40000000000000036,96
1000312,False,0.0,0.0,1.0,0.0,78
1000313,True,0.375,1.0,0.0014814814814814838,1.4000000000000021,91
1000314,False,0.0,0.0,1.0,0.20000000000000018,196
1000315,False,0.0,0.0,1.0,0.10000000000000009,60
1000316,True,0.125,1.0,0.000407000407000407,1.0,86
1000317,False,0.0,0.0,1.0,4.500000000000007,41
1000318,False,0.0,0.0,1.0,1.6000000000000014,22
1000319,False,0.0,0.0,1.0,0.10000000000000009,17
1000320,False,0.0,0.0,1.0,0.10000000000000009,49
1000321,True,0.2666666666666666,1.0,0.001072961373390558,3.0,338
1000322,True,0.1111111111111111,1.0,0.0626148409893993,88.60000000000002,32
1000323,False,0.0,0.0,1.0,1565.4000000000015,160
1000324,False,0.0,0.0,1.0,1.3000000000000007,47
1000325,False,0.0,0.0,1.0,1.4000000000000021,10
1000326,False,0.0,0.0,1.0,3.3000000000000043,8
1000327,False,0.0,0.0,1.0,2.5000000000000036,19
1000328,False,0.0,0.0,1.0,0.9000000000000004,15
1000329,False,0.0,0.0,1.0,9.100000000000009,257
1000330,False,0.0,0.0,1.0,3.6000000000000014,31
1000331,False,0.0,0.0,1.0,4.400000000000006,150
1000332,True,0.2941176470588235,1.0,6.925207756232693e-05,0.10000000000000009,109
1000333,True,0.03125,1.0,0.0008897676717745925,3.6000000000000014,135
1000335,False,0.0,0.0,1.0,5.500000000000007,28
1000336,False,0.0,0.0,1.0,6.400000000000006,93
1000337,False,0.0,0.0,1.0,1.6000000000000014,48
1000338,False,0.0,0.0,1.0,9.600000000000009,24
1000339,True,0.0769230769230769,1.0,0.008759842519685045,8.900000000000006,50
1000340,True,0.2727272727272727,1.0,7.153075822603726e-05,0.10000000000000009,153
1000342,False,0.0,0.0,1.0,9.500000000000014,96
1000344,False,0.0,0.0,1.0,108.0,258
1000345,True,0.0625,1.0,0.00025687130747495504,1.0,147
1000346,False,0.0,0.0,1.0,0.10000000000000009,42
1000347,False,0.0,0.0,1.0,1.4000000000000021,5
1000348,False,0.0,0.0,1.0,2.5000000000000036,4
1000349,False,0.0,0.0,1.0,1.0,4
1000350,False,0.0,0.0,1.0,11.900000000000006,3
1000351,False,0.0,0.0,1.0,1.0,46
1000352,True,1.0,1.0,0.0020408163265306124,1.0,34
1000353,False,0.0,0.0,1.0,4.0,29
1000354,False,0.0,0.0,1.0,114.0,4
1000355,False,0.0,0.0,1.0,10.700000000000003,7
1000356,False,0.0,0.0,1.0,1.6000000000000014,26
1000357,False,0.0,0.0,1.0,58.40000000000009,7
1000358,False,0.0,0.0,1.0,0.40000000000000036,12
1000359,False,0.0,0.0,1.0,2.900000000000002,65
1000361,True,0.0833333333333333,1.0,0.004364236100098327,137.60000000000014,160
1000363,False,0.0,0.0,1.0,6.6000000000000085,164
1000365,False,0.0,0.0,1.0,0.40000000000000036,57
1000366,False,0.0,0.0,1.0,11.400000000000006,38
1000367,True,0.1,1.0,0.012763596004439527,46.00000000000006,44
