cord_id,khipu_id,numeric_value,confidence,method
3000083,1000003,0,0.0,ascher_decimal
3000084,1000003,0,0.0,ascher_decimal
3000092,1000004,0,0.0,ascher_decimal
3000251,1000004,7.0,1.0,ascher_decimal
3000252,1000004,3.0,1.0,ascher_decimal
3000253,1000004,6.0,1.0,ascher_decimal
3000254,1000004,8.0,1.0,ascher_decimal
3000255,1000004,1,1.0,ascher_decimal
3000256,1000004,1,1.0,ascher_decimal
3000257,1000004,1,1.0,ascher_decimal
3000258,1000004,5.0,1.0,ascher_decimal
3000260,1000004,4.0,1.0,ascher_decimal
3000261,1000004,0,0.0,ascher_decimal
3000262,1000004,4.0,1.0,ascher_decimal
3000263,1000004,2.0,1.0,ascher_decimal
3000264,1000004,4.0,1.0,ascher_decimal
3000265,1000004,6.0,1.0,ascher_decimal
3000266,1000004,2.0,1.0,ascher_decimal
3000267,1000004,2.0,1.0,ascher_decimal
3000093,1000004,3.0,1.0,ascher_decimal
3000259,1000004,1,1.0,ascher_decimal
3000094,1000004,114.0,1.0,ascher_decimal
3000095,1000004,12.0,1.0,ascher_decimal
3000096,1000004,0,0.0,ascher_decimal
3000097,1000004,18.0,1.0,ascher_decimal
3000098,1000004,112.0,1.0,ascher_decimal
3000099,1000004,5.0,1.0,ascher_decimal
3000100,1000004,3.0,1.0,ascher_decimal
3000101,1000004,18.0,1.0,ascher_decimal
3000102,1000004,7.0,1.0,ascher_decimal
3000103,1000004,2,1.0,ascher_decimal
3000104,1000004,2.0,1.0,ascher_decimal
3000105,1000004,2.0,1.0,ascher_decimal
3000106,1000004,2,1.0,ascher_decimal
3000107,1000004,9.0,1.0,ascher_decimal
3000108,1000004,4.0,1.0,ascher_decimal
3000109,1000004,2.0,1.0,ascher_decimal
3000110,1000004,2.0,1.0,ascher_decimal
3000111,1000004,4.0,1.0,ascher_decimal
3000112,1000004,4.0,1.0,ascher_decimal
3000113,1000004,3.0,1.0,ascher_decimal
3000114,1000004,1,1.0,ascher_decimal
3000115,1000004,1,1.0,ascher_decimal
3000116,1000004,3.0,1.0,ascher_decimal
3000117,1000004,2.0,1.0,ascher_decimal
3000118,1000004,2.0,1.0,ascher_decimal
3000119,1000004,0,0.0,ascher_decimal
3000120,1000004,2.0,1.0,ascher_decimal
3000121,1000004,4.0,1.0,ascher_decimal
