khipu_id,num_values,mean,std,cv,range,iqr,variance_class
1000106,18,3.9444444444444446,2.5081566285227512,0.6358706945550636,8.0,3.75,medium
1000107,14,1.5714285714285714,0.8516306272526403,0.5419467627971347,2.0,1.0,medium
1000108,23,4843.652173913043,23165.489878870754,4.782649341262678,111110.0,4.0,high
1000109,8,157.0,389.73140934311596,2.482365664605834,1115.0,34.25,high
1000110,19,62.63157894736842,255.33142090805038,4.076720165758788,1115.0,3.0,high
1000111,5,49.6,60.76018433151763,1.2250037163612424,116.0,112.0,medium
1000112,4,2788.5,5550.335815666172,1.9904378037174724,11108.0,2778.5,high
1000113,35,7706870.371428572,26070541.690249242,3.382766341432147,111111109.0,111000.0,high
1000114,11,1010215.0909090909,3350125.0086973007,3.31624922142326,11111221.0,10.0,high
1000115,186,5396275.854838709,23902796.15556905,4.429498565040183,111111117.0,11.0,high
1000116,20,12.1,0.6407232755171874,0.05295233681960227,3.0,0.0,low
1000117,15,4.4,1.9198214202665533,0.43632305006058025,7.0,2.0,low
1000118,30,27937481.8,62562810.11979663,2.2393861611319825,222222221.0,11118327.25,high
1000119,56,2733404.339285714,14958346.206486177,5.472423523844647,111111110.0,110915.0,high
1000120,75,6256922.426666667,25777249.34643808,4.119796856770484,122222226.0,168.5,high
1000121,106,1052.1415094339623,10791.96397452305,10.2571411523617,111113.0,4.0,high
1000122,18,700152.1111111111,2611148.2025158266,3.7294013130547405,11111214.0,85999.25,high
1000123,20,29019711.45,48754273.11200562,1.6800398996388237,111122214.0,36943320.25,high
1000124,106,11312699.198113207,29485613.887904022,2.6064172105647248,122222233.0,11110666.0,high
1000125,37,3974853.2972972975,18359057.15381092,4.618801193567109,111111111.0,11115.0,high
1000126,42,4.190476190476191,3.542343824039666,0.8453320489185566,15.0,3.0,medium
1000127,106,6060441.103773585,23650848.022234086,3.902496141329991,111222221.0,111109.0,high
1000128,39,345.6666666666667,1786.9524679764197,5.169582838890317,11113.0,2.0,high
1000129,3,9.333333333333334,3.214550253664318,0.3444160986068912,6.0,3.0,low
1000130,8,4.25,2.434865792722759,0.5729095982877079,6.0,4.25,medium
1000131,61,14731.442622950819,32498.078847589637,2.2060350557221957,111222.0,11101.0,high
1000132,27,43.55555555555556,213.93409001791846,4.9117520667379235,1113.0,1.5,high
1000133,12,92596.08333333333,320750.9047751594,3.4639791795566524,1111116.0,3.25,high
1000134,8,2782.75,5140.307515814872,1.8472042101571726,11105.0,2776.25,high
1000135,15,4.866666666666666,2.7740292167239504,0.5700060034364283,7.0,5.0,medium
1000136,4,55555562.5,64150023.49495559,1.1547002785716658,111111107.0,111111096.5,medium
1000137,23,5.0,2.796101181678127,0.5592202363356253,10.0,4.5,medium
1000138,33,3368093.3333333335,19341766.353563245,5.742645597775372,111111110.0,7.0,high
1000139,15,7408901.066666666,28688352.827932317,3.8721468365941445,111111111.0,59.5,high
1000140,206,753.1067961165048,7843.042533587391,10.414250109056352,111114.0,5.0,high
1000141,8,15444468.125,38844273.30241779,2.5150929762055365,111111090.0,3611025.75,high
1000142,17,91597.5294117647,267081.5466826372,2.915816053094697,1111110.0,111100.0,high
1000143,29,2.896551724137931,1.3454905527673566,0.4645145955982541,6.0,2.0,low
1000144,81,1848489.2098765431,12473726.821063993,6.748065801204806,111111121.0,11104.0,high
1000145,24,62.125,225.63366085990688,3.63193015468663,1111.0,7.75,high
1000146,57,6677519.771929825,24997075.96204246,3.7434671578393877,111111121.0,11229.0,high
1000147,268,2801710.98880597,16504295.627923336,5.8907916247839385,111111121.0,1392.5,high
1000148,168,1557486.261904762,12151841.41484707,7.802214190952612,111111122.0,15.25,high
1000149,15,765.0666666666667,2862.337742542091,3.7412919255952737,11106.0,2.5,high
1000150,28,7963.821428571428,29132.88872156737,3.658154440410815,111110.0,33.25,high
1000151,22,627561.3181818182,2366038.600743453,3.770211025112864,11111121.0,86404.25,high
1000152,31,7968067.258064516,27672539.649662342,3.472929978302435,111111125.0,2212.0,high
1000154,5,3.6,4.159326868617084,1.1553685746158566,10.0,0.0,medium
