khipu_id,model,matches,total,match_rate,has_pattern,tolerance
1000535,positional_base10,0,0,0.0,False,
1000535,standard_tolerance_2,0,0,0.0,False,2.0
1000535,standard_tolerance_5,0,0,0.0,False,5.0
1000535,cross_level_all_descendants,0,0,0.0,False,
1000535,partial_summation,0,0,0.0,False,
1000536,modulo_10,5,7,0.7142857142857143,True,
1000536,positional_base10,0,7,0.0,False,
1000536,standard_tolerance_2,0,7,0.0,False,2.0
1000536,standard_tolerance_5,0,7,0.0,False,5.0
1000536,cross_level_all_descendants,0,2,0.0,False,
1000536,partial_summation,0,7,0.0,False,
1000537,modulo_10,0,0,0.0,False,
1000537,positional_base10,0,0,0.0,False,
1000537,standard_tolerance_2,0,0,0.0,False,2.0
1000537,standard_tolerance_5,0,0,0.0,False,5.0
1000537,cross_level_all_descendants,0,0,0.0,False,
1000537,partial_summation,0,0,0.0,False,
1000538,modulo_10,0,0,0.0,False,
1000538,positional_base10,0,0,0.0,False,
1000538,standard_tolerance_2,0,0,0.0,False,2.0
1000538,standard_tolerance_5,0,0,0.0,False,5.0
1000538,cross_level_all_descendants,0,0,0.0,False,
1000538,partial_summation,0,0,0.0,False,
1000539,modulo_10,2,3,0.6666666666666666,True,
1000539,positional_base10,0,3,0.0,False,
1000539,standard_tolerance_2,0,3,0.0,False,2.0
1000539,standard_tolerance_5,0,3,0.0,False,5.0
1000539,cross_level_all_descendants,0,0,0.0,False,
1000539,partial_summation,0,3,0.0,False,
1000540,modulo_10,2,10,0.2,False,
1000540,positional_base10,1,10,0.1,False,
1000540,standard_tolerance_2,0,10,0.0,False,2.0
1000540,standard_tolerance_5,0,10,0.0,False,5.0
1000540,cross_level_all_descendants,0,10,0.0,False,
1000540,partial_summation,0,10,0.0,False,
1000541,modulo_10,1,1,1.0,True,
1000541,positional_base10,0,1,0.0,False,
1000541,standard_tolerance_2,0,1,0.0,False,2.0
1000541,standard_tolerance_5,0,1,0.0,False,5.0
1000541,cross_level_all_descendants,0,0,0.0,False,
1000541,partial_summation,0,1,0.0,False,
1000542,modulo_10,0,0,0.0,False,
1000542,positional_base10,0,0,0.0,False,
1000542,standard_tolerance_2,0,0,0.0,False,2.0
1000542,standard_tolerance_5,0,0,0.0,False,5.0
1000542,cross_level_all_descendants,0,0,0.0,False,
1000542,partial_summation,0,0,0.0,False,
1000543,modulo_10,2,2,1.0,True,
1000543,positional_base10,0,2,0.0,False,
1000543,standard_tolerance_2,0,2,0.0,False,2.0
1000543,standard_tolerance_5,0,2,0.0,False,5.0
1000543,cross_level_all_descendants,0,0,0.0,False,
1000543,partial_summation,0,2,0.0,False,
1000544,modulo_10,0,0,0.0,False,
1000544,positional_base10,0,0,0.0,False,
1000544,standard_tolerance_2,0,0,0.0,False,2.0
1000544,standard_tolerance_5,0,0,0.0,False,5.0
1000544,cross_level_all_descendants,0,0,0.0,False,
1000544,partial_summation,0,0,0.0,False,
1000545,modulo_10,25,42,0.5952380952380952,True,
1000545,positional_base10,3,42,0.07142857142857142,False,
1000545,standard_tolerance_2,3,42,0.07142857142857142,False,2.0
1000545,standard_tolerance_5,3,42,0.07142857142857142,False,5.0
1000545,cross_level_all_descendants,0,7,0.0,False,
1000545,partial_summation,3,42,0.07142857142857142,False,
1000546,modulo_10,30,45,0.6666666666666666,True,
1000546,positional_base10,3,45,0.06666666666666667,False,
1000546,standard_tolerance_2,4,45,0.08888888888888889,False,2.0
1000546,standard_tolerance_5,4,45,0.08888888888888889,False,5.0
1000546,cross_level_all_descendants,0,26,0.0,False,
1000546,partial_summation,3,45,0.06666666666666667,False,
1000547,modulo_10,9,18,0.5,False,
1000547,positional_base10,1,18,0.05555555555555555,False,
1000547,standard_tolerance_2,1,18,0.05555555555555555,False,2.0
1000547,standard_tolerance_5,1,18,0.05555555555555555,False,5.0
1000547,cross_level_all_descendants,0,5,0.0,False,
1000547,partial_summation,1,18,0.05555555555555555,False,
1000548,modulo_10,0,0,0.0,False,
1000548,positional_base10,0,0,0.0,False,
1000548,standard_tolerance_2,0,0,0.0,False,2.0
1000548,standard_tolerance_5,0,0,0.0,False,5.0
1000548,cross_level_all_descendants,0,0,0.0,False,
1000548,partial_summation,0,0,0.0,False,
1000549,modulo_10,1,2,0.5,False,
1000549,positional_base10,0,2,0.0,False,
1000549,standard_tolerance_2,0,2,0.0,False,2.0
1000549,standard_tolerance_5,0,2,0.0,False,5.0
1000549,cross_level_all_descendants,0,0,0.0,False,
1000549,partial_summation,0,2,0.0,False,
1000550,modulo_10,0,0,0.0,False,
1000550,positional_base10,0,0,0.0,False,
1000550,standard_tolerance_2,0,0,0.0,False,2.0
1000550,standard_tolerance_5,0,0,0.0,False,5.0
1000550,cross_level_all_descendants,0,0,0.0,False,
1000550,partial_summation,0,0,0.0,False,
1000551,modulo_10,0,0,0.0,False,
1000551,positional_base10,0,0,0.0,False,
1000551,standard_tolerance_2,0,0,0.0,False,2.0
1000551,standard_tolerance_5,0,0,0.0,False,5.0
1000551,cross_level_all_descendants,0,0,0.0,False,
1000551,partial_summation,0,0,0.0,False,
1000552,modulo_10,9,21,0.42857142857142855,False,
1000552,positional_base10,4,21,0.19047619047619047,False,
1000552,standard_tolerance_2,4,21,0.19047619047619047,False,2.0
1000552,standard_tolerance_5,4,21,0.19047619047619047,False,5.0
1000552,cross_level_all_descendants,0,4,0.0,False,
