khipu_id,total_path_length,context_switches,avg_leaf_depth,traversal_cost,normalized_traversal,n_cords
1000096,2022,12.0,3.0,2034.0,1.1108683779355544,1831
1000097,125,12.0,3.0,137.0,1.5747126436781609,87
1000098,65,4.0,2.0,69.0,1.4081632653061225,49
1000099,43,0.0,1.0,43.0,1.0,43
1000100,25,0.0,1.0,25.0,1.0,25
1000101,34,6.0,2.0,40.0,1.4285714285714286,28
1000103,667,2.0,2.0,669.0,1.2365988909426988,541
1000105,12,0.0,1.0,12.0,1.0,12
1000106,18,0.0,1.0,18.0,1.0,18
1000107,15,0.0,1.0,15.0,1.0,15
1000108,25,0.0,1.0,25.0,1.0,25
1000109,18,10.0,3.0,28.0,2.8,10
1000110,21,0.0,1.0,21.0,1.0,21
1000111,13,4.0,2.0,17.0,1.5454545454545454,11
1000112,4,0.0,1.0,4.0,1.0,4
1000113,35,0.0,1.0,35.0,1.0,35
1000114,15,2.0,2.0,17.0,1.2142857142857142,14
1000115,200,2.0,2.0,202.0,1.063157894736842,190
1000116,20,0.0,1.0,20.0,1.0,20
1000117,24,2.0,2.0,26.0,1.4444444444444444,18
1000118,30,0.0,1.0,30.0,1.0,30
1000119,62,0.0,1.0,62.0,1.0,62
1000120,92,2.0,2.0,94.0,1.0444444444444445,90
1000121,136,2.0,2.0,138.0,1.1219512195121952,123
1000122,18,0.0,1.0,18.0,1.0,18
1000123,20,0.0,1.0,20.0,1.0,20
1000124,112,0.0,1.0,112.0,1.0,112
1000125,56,6.0,3.0,62.0,1.5121951219512195,41
1000126,75,14.0,3.0,89.0,1.8936170212765957,47
1000127,156,6.0,2.0,162.0,1.3728813559322033,118
1000128,59,2.0,2.0,61.0,1.525,40
1000129,3,0.0,1.0,3.0,1.0,3
1000130,12,2.0,2.0,14.0,1.5555555555555556,9
1000131,65,0.0,1.0,65.0,1.0,65
1000132,50,2.0,2.0,52.0,1.5294117647058822,34
1000133,18,0.0,1.0,18.0,1.0,18
1000134,8,0.0,1.0,8.0,1.0,8
1000135,16,0.0,1.0,16.0,1.0,16
1000136,5,0.0,1.0,5.0,1.0,5
1000137,28,2.0,2.0,30.0,1.1111111111111112,27
1000138,44,2.0,2.0,46.0,1.393939393939394,33
1000139,23,2.0,2.0,25.0,1.1904761904761905,21
1000140,521,28.0,3.0,549.0,1.5165745856353592,362
1000141,9,0.0,1.0,9.0,1.0,9
1000142,18,0.0,1.0,18.0,1.0,18
1000143,30,0.0,1.0,30.0,1.0,30
1000144,151,4.0,3.0,155.0,1.24,125
1000145,25,2.0,2.0,27.0,1.125,24
1000146,91,12.0,4.0,103.0,1.7457627118644068,59
1000147,477,18.0,4.0,495.0,1.4644970414201184,338
1000148,398,20.0,3.0,418.0,1.3795379537953796,303
1000149,15,0.0,1.0,15.0,1.0,15
1000150,31,2.0,2.0,33.0,1.1,30
1000151,29,2.0,2.0,31.0,1.1071428571428572,28
1000152,43,2.0,2.0,45.0,1.2857142857142858,35
1000154,5,0.0,1.0,5.0,1.0,5
1000155,1,0.0,1.0,1.0,1.0,1
1000156,10,2.0,2.0,12.0,1.7142857142857142,7
1000157,9,0.0,1.0,9.0,1.0,9
