khipu_id,depth,avg_branching,branching_variance,branching_cv,structural_cv,density,variance_class
1000170,2.0,2.45,6.363961030678928,0.2597535114562828,0.2597535114562828,0.02,low
1000171,1.0,15.0,0.0,0.0,0.0,0.0625,low
1000172,1.0,27.0,0.0,0.0,0.0,0.0357142857142857,low
1000173,1.0,8.0,0.0,0.0,0.0,0.1111111111111111,low
1000174,1.0,25.0,0.0,0.0,0.0,0.0384615384615384,low
1000176,1.0,38.0,0.0,0.0,0.0,0.0256410256410256,low
1000177,2.0,1.5333333333333334,5.188127472091127,0.9022830386245438,0.9022830386245438,0.0283251231527093,high
1000178,2.0,1.8823529411764703,0.0,0.0,0.0,0.0303030303030303,low
1000179,2.0,4.333333333333333,11.313708498984761,0.8702852691526739,0.8702852691526739,0.037037037037037,high
1000180,2.0,7.0,45.96194077712559,0.875465538611916,0.875465538611916,0.0094339622641509,high
1000182,1.0,3.0,0.0,0.0,0.0,0.25,low
1000183,3.0,19.0,273.4744046524281,1.8572115765869481,1.8572115765869481,0.0016949152542372,high
1000184,1.0,90.0,62.22539674441618,1.3827865943203597,1.3827865943203597,0.0109890109890109,high
1000185,3.0,2.2058823529411766,19.313207915827967,0.7725283166331187,0.7725283166331187,0.0131578947368421,high
1000186,1.0,12.0,0.0,0.0,0.0,0.0769230769230769,low
1000187,2.0,5.5,2.1213203435596424,0.385694607919935,0.385694607919935,0.0833333333333333,medium
1000188,2.0,1.95,0.7071067811865476,0.03626188621469475,0.03626188621469475,0.025,low
1000189,2.0,5.0,5.656854249492381,1.131370849898476,1.131370849898476,0.0909090909090909,high
1000190,1.0,9.0,0.0,0.0,0.0,0.1,low
1000191,1.0,10.0,0.0,0.0,0.0,0.0909090909090909,low
1000192,2.0,5.769230769230769,25.514701644346147,1.020588065773846,1.020588065773846,0.0131578947368421,high
1000194,2.0,4.0,4.242640687119285,1.0606601717798212,1.0606601717798212,0.1111111111111111,high
1000195,1.0,3.0,0.0,0.0,0.0,0.25,low
1000196,1.0,2.0,0.0,0.0,0.0,0.3333333333333333,low
1000197,2.0,3.5,21.920310216782973,0.5693587069294279,0.5693587069294279,0.0128205128205128,medium
1000198,3.0,2.3008849557522124,63.51640208114226,0.7328815624747184,0.7328815624747184,0.003831417624521,high
1000199,2.0,3.5,7.0710678118654755,0.5050762722761054,0.5050762722761054,0.0344827586206896,medium
1000200,2.0,8.0,29.698484809834994,1.0606601717798212,1.0606601717798212,0.0175438596491228,high
1000201,4.0,3.575,40.392862405793096,1.1298702770851217,1.1298702770851217,0.0069444444444444,high
1000204,1.0,16.0,0.0,0.0,0.0,0.0588235294117647,low
1000205,1.0,4.0,0.0,0.0,0.0,0.2,low
1000206,2.0,3.0,2.8284271247461903,0.47140452079103173,0.47140452079103173,0.0769230769230769,medium
1000207,2.0,19.0,25.45584412271571,1.3397812696166163,1.3397812696166163,0.0256410256410256,high
1000208,4.0,2.3684210526315788,11.954775893619532,1.062646746099514,1.062646746099514,0.0217391304347826,high
1000209,3.0,2.8,14.047538337136984,0.7525466966323384,0.7525466966323384,0.0175438596491228,high
1000210,4.0,3.5,5.0,1.4285714285714286,1.4285714285714286,0.0666666666666666,high
1000211,2.0,14.5,17.67766952966369,1.2191496227354268,1.2191496227354268,0.0333333333333333,high
1000212,2.0,4.818181818181818,19.091883092036785,0.7204484185674258,0.7204484185674258,0.0185185185185185,high
1000213,1.0,36.0,0.0,0.0,0.0,0.027027027027027,low
1000214,2.0,5.0,12.737739202856996,1.1322434846983997,1.1322434846983997,0.0217391304347826,high
1000216,2.0,5.0,5.656854249492381,1.131370849898476,1.131370849898476,0.0909090909090909,high
1000217,1.0,7.0,0.0,0.0,0.0,0.125,low
1000218,1.0,5.0,0.0,0.0,0.0,0.1666666666666666,low
1000220,2.0,8.0,9.899494936611665,1.2374368670764582,1.2374368670764582,0.0588235294117647,high
1000221,1.0,33.0,0.0,0.0,0.0,0.0294117647058823,low
1000222,2.0,3.076923076923077,5.656854249492381,0.282842712474619,0.282842712474619,0.024390243902439,low
1000223,2.0,5.166666666666667,12.020815280171307,0.7755364696884715,0.7755364696884715,0.03125,high
1000224,1.0,5.0,0.0,0.0,0.0,0.1666666666666666,low
1000225,1.0,8.0,0.0,0.0,0.0,0.1111111111111111,low
1000226,1.0,6.0,0.0,0.0,0.0,0.1428571428571428,low
1000227,3.0,3.1875,16.522711641858304,0.9719242142269591,0.9719242142269591,0.0192307692307692,high
1000228,1.0,45.0,0.0,0.0,0.0,0.0217391304347826,low
1000229,2.0,3.809523809523809,16.97056274847714,0.42426406871192845,0.42426406871192845,0.0123456790123456,medium
1000230,2.0,4.095238095238095,25.45584412271571,0.591996374946877,0.591996374946877,0.0114942528735632,medium
1000231,2.0,11.25,27.577164466275352,1.2256517540566823,1.2256517540566823,0.0217391304347826,high
1000232,2.0,3.888888888888889,13.435028842544403,0.7677159338596802,0.7677159338596802,0.0277777777777777,high
1000233,2.0,29.0,38.18376618407357,1.316681592554261,1.316681592554261,0.0169491525423728,high
1000234,1.0,56.0,0.0,0.0,0.0,0.0175438596491228,low
1000235,4.0,10.125,35.88291143891941,1.7719956266133041,1.7719956266133041,0.0121951219512195,high
1000236,2.0,16.4,52.32590180780452,1.2762415075074274,1.2762415075074274,0.0120481927710843,high
1000238,4.0,6.269230769230769,109.87417045572327,1.348149330745071,1.348149330745071,0.0030581039755351,high
1000239,3.0,5.545454545454546,20.402205763103165,1.337849558236273,1.337849558236273,0.0161290322580645,high
1000240,1.0,47.0,27.577164466275352,1.1734963602670363,1.1734963602670363,0.0208333333333333,high
1000241,2.0,17.2,46.66904755831214,1.0853266874026077,1.0853266874026077,0.0114942528735632,high
1000242,1.0,6.0,0.0,0.0,0.0,0.1428571428571428,low
1000243,2.0,11.5,14.849242404917497,1.2912384699928259,1.2912384699928259,0.0416666666666666,high
1000244,2.0,5.0,0.7071067811865476,0.0565685424949238,0.0565685424949238,0.0384615384615384,low
1000245,2.0,16.5,21.920310216782973,1.3285036495019984,1.3285036495019984,0.0294117647058823,high
1000246,1.0,41.0,0.0,0.0,0.0,0.0238095238095238,low
1000247,1.0,26.0,0.0,0.0,0.0,0.037037037037037,low
1000248,1.0,26.0,0.0,0.0,0.0,0.037037037037037,low
1000249,2.0,13.2,39.59797974644666,1.1999387801953534,1.1999387801953534,0.0149253731343283,high
1000250,1.0,74.0,0.0,0.0,0.0,0.0133333333333333,low
1000251,2.0,5.642857142857143,37.476659402887016,0.9487761874148611,0.9487761874148611,0.0125,high
1000252,1.0,13.0,0.0,0.0,0.0,0.0714285714285714,low
1000253,1.0,24.0,0.0,0.0,0.0,0.04,low
1000254,1.0,11.0,0.0,0.0,0.0,0.0833333333333333,low
1000255,2.0,15.5,20.506096654409877,1.322973977703863,1.322973977703863,0.03125,high
1000256,1.0,14.0,0.0,0.0,0.0,0.0666666666666666,low
1000257,2.0,3.5,3.5355339059327378,1.0101525445522108,1.0101525445522108,0.125,high
1000258,1.0,44.0,0.0,0.0,0.0,0.0222222222222222,low
1000259,1.0,111.0,0.0,0.0,0.0,0.0089285714285714,low
1000260,2.0,11.666666666666666,20.506096654409877,1.1717769516805643,1.1717769516805643,0.0277777777777777,high
1000261,2.0,11.666666666666666,20.506096654409877,1.1717769516805643,1.1717769516805643,0.0277777777777777,high
1000262,1.0,73.0,0.0,0.0,0.0,0.0135135135135135,low
1000263,2.0,18.5,48.08326112068523,1.2995475978563575,1.2995475978563575,0.0133333333333333,high
1000264,2.0,38.0,77.78174593052023,1.364592033868776,1.364592033868776,0.008695652173913,high
1000265,2.0,11.0,30.405591591021544,1.1056578760371472,1.1056578760371472,0.0178571428571428,high
1000266,2.0,2.8421052631578947,12.727922061357855,0.4714045207910317,0.4714045207910317,0.0181818181818181,medium
1000267,1.0,61.0,0.0,0.0,0.0,0.0161290322580645,low
1000268,1.0,72.0,0.0,0.0,0.0,0.0136986301369863,low
1000269,2.0,2.9166666666666665,24.748737341529164,0.4714045207910317,0.4714045207910317,0.0094339622641509,medium
