khipu_id,num_cords,unique_colors,dominant_color_pct,color_entropy,standardization_score,variance_class
1000182,4,2,0.5,0.9999999997114609,2.8853908151660335e-10,low
1000183,599,6,0.6160267111853088,1.6608647754755106,0.3574897991703321,high
1000184,91,5,0.45054945054945056,1.5576500842836911,0.32915662301796933,medium
1000185,76,3,0.7763157894736842,0.9899635008353895,0.3754025723731903,medium
1000186,13,3,0.46153846153846156,1.4604846808803027,0.07853676019730194,medium
1000187,11,2,0.9090909090909091,0.4394969866329743,0.5605030133670257,low
1000188,40,1,1.0,-1.4426951601859516e-10,1.0000000001442695,low
1000189,29,2,0.6896551724137931,0.8935711013656518,0.10642889863434823,low
1000190,10,1,1.0,-1.4426951601859516e-10,1.0000000001442695,low
1000191,11,2,0.7272727272727273,0.8453509363338975,0.15464906366610254,low
1000192,74,6,0.4594594594594595,2.008371412797849,0.22305588098954965,high
1000194,9,3,0.4444444444444444,1.530493056324674,0.0343663931302467,medium
1000195,4,4,0.25,1.9999999994229218,2.8853908151660335e-10,medium
1000196,3,1,1.0,-1.4426951601859516e-10,1.0000000001442695,low
1000197,78,5,0.44871794871794873,1.8359153429291872,0.2093142991931245,medium
1000198,261,5,0.5210727969348659,1.711069617980277,0.2630824263042988,medium
1000199,29,3,0.5172413793103449,1.2847772380471203,0.1893958138047126,medium
1000200,57,3,0.47368421052631576,1.3401179474649405,0.15447971364925772,medium
1000201,157,6,0.2611464968152866,2.1940073370869397,0.15124210255473614,high
1000204,18,3,0.3888888888888889,1.5419822838535895,0.02711749763670157,medium
1000205,5,2,0.8,0.7219280945988233,0.27807190540117666,low
1000206,14,3,0.5,1.295836388858355,0.18241826650867066,medium
1000207,43,5,0.3953488372093023,1.9442717479625347,0.16264773562815593,medium
1000208,46,2,0.6304347826086957,0.9503376696824877,0.049662330317512327,low
1000209,56,4,0.39285714285714285,1.813657782395542,0.09317110880222901,medium
1000210,15,5,0.5333333333333333,1.7735572615538375,0.23617046304792066,medium
1000211,30,7,0.3,2.446439343661129,0.12856072296407317,high
1000212,64,4,0.484375,1.8144896184146266,0.09275519079268668,medium
1000213,37,4,0.4594594594594595,1.8130296415751201,0.09348517921243993,medium
1000214,46,5,0.6086956521739131,1.6213925899618826,0.30170422006951203,medium
1000216,12,2,0.9166666666666666,0.4138168500150947,0.5861831499849053,low
1000217,8,3,0.625,1.29879494026259,0.18055162840026828,medium
1000218,8,2,0.75,0.8112781241705938,0.18872187582940625,low
1000220,17,4,0.5882352941176471,1.545152196621872,0.227423901689064,medium
1000221,34,4,0.5,1.5830435294761185,0.20847823526194076,medium
1000222,37,8,0.40540540540540543,2.493840880284118,0.16871970657196067,high
1000223,32,3,0.78125,0.8873068824204711,0.44017168733219403,medium
1000224,9,3,0.5555555555555556,1.3516441147205838,0.14720751178303126,medium
1000225,6,2,0.8333333333333334,0.6500224213598151,0.34997757864018486,low
1000226,7,3,0.42857142857142855,1.4488156352923758,0.08589910825450675,medium
1000227,51,2,0.7058823529411765,0.8739810478388188,0.1260189521611812,low
1000228,45,2,0.6,0.9709505941661296,0.02904940583387039,low
1000229,84,5,0.5714285714285714,1.6441484824627666,0.2919037906113432,medium
1000230,87,4,0.40229885057471265,1.7456912424560194,0.12715437877199032,medium
1000231,51,2,0.6078431372549019,0.9661773510998118,0.03382264890018816,low
1000232,36,4,0.5,1.6258145831168331,0.18709270844158343,medium
1000233,59,2,0.9830508474576272,0.12394986742246857,0.8760501325775314,low
1000234,56,2,0.6785714285714286,0.9059282157544601,0.09407178424553986,low
1000235,83,7,0.2289156626506024,2.550931509423936,0.09133986252287851,high
1000236,82,9,0.4634146341463415,2.3325762078662673,0.2641541339921456,high
1000238,340,11,0.3588235294117647,2.4440648678161994,0.2935068134750588,high
1000239,65,5,0.46153846153846156,1.5404842632271776,0.33654953974709234,medium
1000240,119,3,0.6218487394957983,1.2601368093956047,0.2049421933817085,medium
1000241,12,3,0.5833333333333334,1.2806721290880785,0.19198584918862482,medium
1000242,7,1,1.0,-1.4426951601859516e-10,1.0000000001442695,low
1000243,24,5,0.3333333333333333,2.036576689219385,0.12289416123448904,medium
1000244,26,2,0.8461538461538461,0.6193821943902247,0.3806178056097753,low
