khipu_id,depth,entropy,marginal_expressiveness,cumulative_entropy
1000407,2,-1.4426951601859516e-10,-2.5898707216356387,2.5898707213470997
1000408,0,0.0,0.0,0.0
1000408,1,0.17556502556896378,0.17556502556896378,0.17556502556896378
1000408,2,0.9182958337659504,0.7427308081969866,1.0938608593349142
1000409,0,0.0,0.0,0.0
1000409,1,1.5849625002883474,1.5849625002883474,1.5849625002883474
1000409,2,0.9182958337659504,-0.666666666522397,2.5032583340542978
1000410,0,0.0,0.0,0.0
1000410,1,-1.4426951601859516e-10,-1.4426951601859516e-10,-1.4426951601859516e-10
1000410,2,-1.4426951601859516e-10,0.0,-2.8853903203719033e-10
1000411,0,0.0,0.0,0.0
1000411,1,-1.4426951601859516e-10,-1.4426951601859516e-10,-1.4426951601859516e-10
1000412,0,0.0,0.0,0.0
