khipu_id,color_entropy,color_cord_ratio,unique_color_count,multi_color_ratio,primary_color_diversity,pendant_color_diversity,color_transitions
1000189,0.6193762897414465,2.9,2.0,0.0,2.0,1.0,0.0
1000190,0.0,1.1111111111111112,1.0,0.0,1.0,0.0,0.0
1000191,0.5859526183035508,1.1,2.0,0.18181818181818182,2.0,0.0,0.0
1000192,1.3920969828980232,0.9866666666666667,6.0,0.25675675675675674,6.0,4.0,0.0
1000194,1.0608569471580214,1.125,3.0,0.3333333333333333,3.0,1.0,0.0
1000195,1.3862943611198906,1.3333333333333333,4.0,0.25,3.0,0.0,0.0
1000196,0.0,1.5,1.0,0.0,1.0,0.0,0.0
1000197,1.2725595441981112,1.0129870129870129,5.0,0.2564102564102564,4.0,5.0,0.0
1000198,1.1860230819448114,1.0038461538461538,5.0,0.38697318007662834,2.0,5.0,0.0
1000199,0.8905397204999551,1.0357142857142858,3.0,0.06896551724137931,2.0,2.0,0.0
1000200,0.9288989772031044,1.0178571428571428,3.0,0.15789473684210525,3.0,3.0,0.0
1000201,1.520770000429646,1.097902097902098,6.0,0.4012738853503185,6.0,5.0,0.0
1000204,1.0688206728265008,1.125,3.0,0.16666666666666666,3.0,0.0,0.0
1000205,0.5004024235381879,1.25,2.0,0.2,1.0,0.0,0.0
1000206,0.8982053397041498,1.1666666666666667,3.0,0.14285714285714285,2.0,3.0,0.0
1000207,1.3476664808425878,1.131578947368421,5.0,0.27906976744186046,5.0,1.0,0.0
1000208,0.6587238765203249,1.0222222222222221,2.0,0.0,2.0,2.0,0.0
1000209,1.257131778768073,1.0,4.0,0.26785714285714285,4.0,4.0,0.0
1000210,1.2293362159076602,1.0714285714285714,5.0,0.13333333333333333,4.0,1.0,0.0
1000211,1.6957425341696346,1.0344827586206897,7.0,0.16666666666666666,7.0,2.0,0.0
1000212,1.2577083635593893,1.2075471698113207,4.0,0.28125,4.0,4.0,0.0
1000213,1.2566963847294026,1.0277777777777777,4.0,0.05405405405405406,4.0,0.0,0.0
1000214,1.1238637028128664,1.0222222222222221,5.0,0.6521739130434783,2.0,4.0,0.0
1000216,0.2868359830561607,1.2,2.0,0.0,1.0,2.0,0.0
1000217,0.9002560512685369,1.1428571428571428,3.0,0.25,2.0,0.0,0.0
1000218,0.5623351446188083,1.6,2.0,0.25,2.0,0.0,0.0
1000220,1.0710178890244566,1.0625,4.0,0.0,3.0,1.0,0.0
1000221,1.0972821595600364,1.0303030303030303,4.0,0.058823529411764705,4.0,0.0,0.0
1000222,1.7285987757340686,1.0,8.0,0.275,5.0,5.0,0.0
1000223,0.6150342641411843,1.032258064516129,3.0,0.03125,1.0,2.0,0.0
1000224,0.936888307539016,1.8,3.0,0.0,2.0,0.0,0.0
1000225,0.45056120886630463,0.75,2.0,0.0,1.0,0.0,0.0
1000226,1.0042424730540764,1.1666666666666667,3.0,0.14285714285714285,3.0,0.0,0.0
1000227,0.605797499372304,1.0196078431372548,2.0,0.1346153846153846,1.0,2.0,0.0
1000228,0.6730116670092565,1.0,2.0,0.044444444444444446,2.0,0.0,0.0
1000229,1.1396368855409793,1.075,5.0,0.06976744186046512,3.0,5.0,0.0
1000230,1.2100209632365777,1.0116279069767442,4.0,0.14942528735632185,3.0,3.0,0.0
1000231,0.669703107035711,1.1333333333333333,2.0,0.17647058823529413,2.0,1.0,0.0
1000232,1.1269287948006759,1.0285714285714285,4.0,0.2777777777777778,2.0,1.0,0.0
1000233,0.08591550133466311,1.0172413793103448,2.0,0.01694915254237288,1.0,1.0,0.0
1000234,0.627941588739906,1.0,2.0,0.16071428571428573,2.0,0.0,0.0
1000235,1.768170984258727,1.0246913580246915,7.0,0.20481927710843373,7.0,3.0,0.0
1000236,1.6168186228237122,1.0,9.0,0.13414634146341464,9.0,3.0,0.0
1000238,1.694096673332414,1.0521472392638036,11.0,0.3935860058309038,9.0,9.0,0.0
1000239,1.0677823242528828,1.0655737704918034,5.0,0.5846153846153846,4.0,4.0,0.0
1000240,0.8734602768523686,2.8085106382978724,3.0,0.45454545454545453,3.0,0.0,0.0
1000241,0.887694275799104,0.13953488372093023,3.0,0.6666666666666666,2.0,0.0,0.0
1000242,0.0,1.1666666666666667,1.0,0.0,1.0,0.0,0.0
1000243,1.4116473906265246,1.0434782608695652,5.0,0.3333333333333333,4.0,1.0,0.0
1000244,0.4293230219306162,1.04,2.0,0.0,2.0,1.0,0.0
1000245,1.9325132406099401,1.0303030303030303,8.0,0.3235294117647059,8.0,1.0,0.0
1000246,0.11466528220290656,1.0,2.0,0.024390243902439025,1.0,0.0,0.0
1000247,1.0608569471580214,1.0384615384615385,3.0,0.2962962962962963,3.0,0.0,0.0
1000248,1.30283471945696,1.7307692307692308,5.0,0.5555555555555556,5.0,0.0,0.0
1000249,1.8935827079936502,1.0151515151515151,8.0,0.22388059701492538,8.0,3.0,0.0
1000250,1.50830215520365,0.9324324324324325,7.0,0.30434782608695654,7.0,0.0,0.0
1000251,1.595657070991671,1.0126582278481013,7.0,0.35,7.0,2.0,0.0
1000252,0.25731864054383163,1.0769230769230769,2.0,1.0,1.0,0.0,0.0
1000253,0.49875846591288275,1.0416666666666667,4.0,0.0,3.0,0.0,0.0
1000254,1.5890269151739727,1.0909090909090908,5.0,0.3333333333333333,5.0,0.0,0.0
