khipu_id,parallel_sections,max_parallel_width,serial_chain_length,parallelization_ratio,parallel_fraction,n_cords
1000077,1,280,3,93.33333333333333,0.99644128113879,281
1000078,1,8,3,2.6666666666666665,0.8888888888888888,9
1000079,2,70,3,23.333333333333332,1.0,94
1000080,1,35,2,17.5,1.0,35
1000081,2,23,3,7.666666666666667,1.0,28
1000082,1,16,2,8.0,1.0,16
1000083,3,104,4,26.0,1.0,157
1000084,1,6,2,3.0,1.0,6
1000085,2,269,3,89.66666666666667,1.0,289
1000086,1,14,2,7.0,1.0,14
1000087,2,16,3,5.333333333333333,1.0,28
1000088,1,195,2,97.5,1.0,195
1000089,2,146,3,48.666666666666664,1.0,287
1000090,2,11,3,3.6666666666666665,1.0,15
1000091,2,47,3,15.666666666666666,1.0,49
1000092,1,13,2,6.5,1.0,13
1000093,1,22,3,7.333333333333333,0.9565217391304348,23
1000094,2,181,4,45.25,0.9964912280701754,285
1000096,3,1650,4,412.5,1.0,1831
1000097,3,54,4,13.5,1.0,87
1000098,2,33,3,11.0,1.0,49
1000099,1,43,2,21.5,1.0,43
1000100,1,25,2,12.5,1.0,25
1000101,2,22,3,7.333333333333333,1.0,28
1000103,2,415,3,138.33333333333334,1.0,541
1000105,1,12,2,6.0,1.0,12
1000106,1,18,2,9.0,1.0,18
1000107,1,15,2,7.5,1.0,15
1000108,1,25,2,12.5,1.0,25
1000109,3,4,4,1.0,1.0,10
1000110,1,21,2,10.5,1.0,21
1000111,2,9,3,3.0,1.0,11
1000112,1,4,2,2.0,1.0,4
1000113,1,35,2,17.5,1.0,35
1000114,1,13,3,4.333333333333333,0.9285714285714286,14
1000115,2,180,3,60.0,1.0,190
1000116,1,20,2,10.0,1.0,20
1000117,2,12,3,4.0,1.0,18
1000118,1,30,2,15.0,1.0,30
1000119,1,62,2,31.0,1.0,62
1000120,2,88,3,29.333333333333332,1.0,90
1000121,2,110,3,36.666666666666664,1.0,123
1000122,1,18,2,9.0,1.0,18
1000123,1,20,2,10.0,1.0,20
1000124,1,112,2,56.0,1.0,112
1000125,2,27,4,6.75,0.975609756097561,41
1000126,3,23,4,5.75,1.0,47
1000127,2,80,3,26.666666666666668,1.0,118
1000128,2,21,3,7.0,1.0,40
1000129,1,3,2,1.5,1.0,3
1000130,2,6,3,2.0,1.0,9
1000131,1,65,2,32.5,1.0,65
1000132,2,18,3,6.0,1.0,34
1000133,1,18,2,9.0,1.0,18
1000134,1,8,2,4.0,1.0,8
1000135,1,16,2,8.0,1.0,16
1000136,1,5,2,2.5,1.0,5
1000137,1,26,3,8.666666666666666,0.9629629629629629,27
1000138,2,22,3,7.333333333333333,1.0,33
1000139,2,19,3,6.333333333333333,1.0,21
1000140,3,222,4,55.5,1.0,362
1000141,1,9,2,4.5,1.0,9
1000142,1,18,2,9.0,1.0,18
1000143,1,30,2,15.0,1.0,30
1000144,3,101,4,25.25,1.0,125
