khipu_id,structural_cluster,predicted_function,confidence,administrative_type,cord_count,hierarchy_depth,summation_match_rate,numeric_coverage,unique_color_count,color_entropy
1000640,2,Accounting,0.9906832298136646,Standard Administrative Record,10,1,0.0,0.8,1.0,0.0
1000641,2,Accounting,1.0,Standard Administrative Record,6,1,0.0,0.8333333333333334,2.0,0.45056120886630463
1000642,2,Accounting,1.0,Standard Administrative Record,14,2,0.0,0.2857142857142857,5.0,1.376055285260417
1000643,2,Accounting,0.9907407407407408,Standard Administrative Record,7,2,0.0,0.8571428571428571,2.0,0.6829081047004717
1000644,4,Accounting,0.9554980030007347,Lateral Category Tracking,5,2,1.0,0.8,2.0,0.5004024235381879
1000645,2,Accounting,1.0,Standard Administrative Record,12,2,0.0,0.5833333333333334,5.0,1.5454229031935935
1000646,0,Accounting,1.0,Compact Operational Record,25,3,0.3333333333333333,0.6,4.0,0.6060252027357298
1000647,0,Accounting,1.0,Compact Operational Record,75,4,0.3333333333333333,0.5066666666666667,8.0,1.5033844456645045
1000648,1,Accounting,1.0,Aggregated Summary,217,2,0.0,0.9262672811059908,8.0,1.7396777669893124
1000649,6,Accounting,1.0,Exceptional/Anomalous,33,1,0.0,0.8181818181818182,11.0,2.1486609557384786
1000650,6,Accounting,1.0,Exceptional/Anomalous,199,2,0.5,0.9045226130653268,13.0,1.9417539445492975
1000651,6,Accounting,1.0,Exceptional/Anomalous,23,1,0.0,0.9130434782608696,4.0,1.094767752726974
1000652,6,Accounting,1.0,Exceptional/Anomalous,15,1,0.0,0.8,4.0,1.2654130965141723
1000653,2,Accounting,1.0,Standard Administrative Record,7,1,0.0,0.8571428571428571,4.0,1.2770342594661392
1000654,6,Accounting,1.0,Exceptional/Anomalous,58,2,0.0,0.6379310344827587,9.0,1.8327342637963906
1000655,6,Accounting,1.0,Exceptional/Anomalous,30,1,0.0,0.6666666666666666,7.0,1.6397063574156068
1000656,6,Accounting,1.0,Exceptional/Anomalous,36,1,0.0,0.6944444444444444,8.0,1.577665261211952
1000657,2,Accounting,0.9906832298136646,Standard Administrative Record,9,1,0.0,0.6666666666666666,4.0,1.310783678099714
1000658,3,Accounting,1.0,Local Operational Record,273,3,0.4615384615384615,0.63003663003663,7.0,1.3521676149710649
1000659,4,Accounting,0.936573110779728,Lateral Category Tracking,57,2,1.0,0.5614035087719298,13.0,2.1661239276869595
1000660,2,Accounting,1.0,Standard Administrative Record,5,1,0.0,0.8,4.0,1.3321790402101223
1000661,2,Accounting,1.0,Standard Administrative Record,6,1,0.0,0.6666666666666666,4.0,1.0735428464085233
