khipu_id,structural_cluster,silhouette_score
1000170,1,0.33850118262364337
1000171,1,0.33850118262364337
1000172,1,0.33850118262364337
1000173,0,0.33850118262364337
1000174,3,0.33850118262364337
1000176,3,0.33850118262364337
1000177,1,0.33850118262364337
1000178,1,0.33850118262364337
1000179,1,0.33850118262364337
1000180,3,0.33850118262364337
1000182,0,0.33850118262364337
1000183,4,0.33850118262364337
1000184,6,0.33850118262364337
1000185,2,0.33850118262364337
1000186,1,0.33850118262364337
1000187,1,0.33850118262364337
1000188,1,0.33850118262364337
1000189,1,0.33850118262364337
1000190,3,0.33850118262364337
1000191,1,0.33850118262364337
1000192,1,0.33850118262364337
1000194,0,0.33850118262364337
1000195,0,0.33850118262364337
1000196,0,0.33850118262364337
1000197,1,0.33850118262364337
1000198,2,0.33850118262364337
1000199,1,0.33850118262364337
1000200,1,0.33850118262364337
1000201,2,0.33850118262364337
1000204,3,0.33850118262364337
1000205,0,0.33850118262364337
1000206,1,0.33850118262364337
1000207,1,0.33850118262364337
1000208,2,0.33850118262364337
1000209,2,0.33850118262364337
1000210,2,0.33850118262364337
1000211,1,0.33850118262364337
1000212,1,0.33850118262364337
1000213,1,0.33850118262364337
1000214,1,0.33850118262364337
1000216,1,0.33850118262364337
1000217,0,0.33850118262364337
1000218,0,0.33850118262364337
1000220,1,0.33850118262364337
1000221,1,0.33850118262364337
1000222,1,0.33850118262364337
1000223,1,0.33850118262364337
1000224,0,0.33850118262364337
1000225,0,0.33850118262364337
1000226,0,0.33850118262364337
1000227,2,0.33850118262364337
1000228,1,0.33850118262364337
1000229,1,0.33850118262364337
1000230,1,0.33850118262364337
1000231,3,0.33850118262364337
1000232,3,0.33850118262364337
1000233,1,0.33850118262364337
1000234,6,0.33850118262364337
1000235,2,0.33850118262364337
1000236,1,0.33850118262364337
1000238,4,0.33850118262364337
1000239,2,0.33850118262364337
1000240,1,0.33850118262364337
1000241,3,0.33850118262364337
1000242,0,0.33850118262364337
1000243,1,0.33850118262364337
1000244,3,0.33850118262364337
1000245,1,0.33850118262364337
1000246,1,0.33850118262364337
1000247,3,0.33850118262364337
1000248,3,0.33850118262364337
1000249,1,0.33850118262364337
1000250,6,0.33850118262364337
1000251,1,0.33850118262364337
1000252,1,0.33850118262364337
1000253,1,0.33850118262364337
1000254,1,0.33850118262364337
1000255,1,0.33850118262364337
1000256,3,0.33850118262364337
1000257,0,0.33850118262364337
1000258,3,0.33850118262364337
1000259,6,0.33850118262364337
1000260,1,0.33850118262364337
1000261,1,0.33850118262364337
1000262,6,0.33850118262364337
1000263,1,0.33850118262364337
1000264,1,0.33850118262364337
1000265,1,0.33850118262364337
1000266,1,0.33850118262364337
1000267,6,0.33850118262364337
1000268,6,0.33850118262364337
1000269,1,0.33850118262364337
1000270,1,0.33850118262364337
1000271,1,0.33850118262364337
1000272,1,0.33850118262364337
1000273,4,0.33850118262364337
1000274,1,0.33850118262364337
1000275,4,0.33850118262364337
1000276,0,0.33850118262364337
1000277,1,0.33850118262364337
1000279,4,0.33850118262364337
1000280,1,0.33850118262364337
1000283,1,0.33850118262364337
1000285,2,0.33850118262364337
1000287,1,0.33850118262364337
1000288,1,0.33850118262364337
1000289,1,0.33850118262364337
1000290,3,0.33850118262364337
1000291,1,0.33850118262364337
1000292,4,0.33850118262364337
1000293,4,0.33850118262364337
1000295,1,0.33850118262364337
1000296,1,0.33850118262364337
1000297,1,0.33850118262364337
1000298,2,0.33850118262364337
1000299,2,0.33850118262364337
1000300,2,0.33850118262364337
1000301,2,0.33850118262364337
1000302,2,0.33850118262364337
1000303,1,0.33850118262364337
1000304,1,0.33850118262364337
1000305,2,0.33850118262364337
1000306,1,0.33850118262364337
1000307,1,0.33850118262364337
1000309,1,0.33850118262364337
1000310,1,0.33850118262364337
1000312,6,0.33850118262364337
1000313,1,0.33850118262364337
1000314,2,0.33850118262364337
1000315,1,0.33850118262364337
1000316,2,0.33850118262364337
1000317,1,0.33850118262364337
1000318,2,0.33850118262364337
1000319,2,0.33850118262364337
1000320,2,0.33850118262364337
1000321,4,0.33850118262364337
1000322,1,0.33850118262364337
1000323,2,0.33850118262364337
1000324,1,0.33850118262364337
1000325,3,0.33850118262364337
1000326,0,0.33850118262364337
1000327,2,0.33850118262364337
1000328,1,0.33850118262364337
1000329,4,0.33850118262364337
1000330,1,0.33850118262364337
1000331,6,0.33850118262364337
1000332,1,0.33850118262364337
1000333,1,0.33850118262364337
1000335,1,0.33850118262364337
1000336,6,0.33850118262364337
1000337,2,0.33850118262364337
1000338,1,0.33850118262364337
1000339,2,0.33850118262364337
1000340,2,0.33850118262364337
1000342,6,0.33850118262364337
1000344,6,0.33850118262364337
1000345,2,0.33850118262364337
1000346,6,0.33850118262364337
1000347,0,0.33850118262364337
1000348,0,0.33850118262364337
1000349,0,0.33850118262364337
1000350,0,0.33850118262364337
1000351,1,0.33850118262364337
1000352,2,0.33850118262364337
1000353,2,0.33850118262364337
1000354,0,0.33850118262364337
1000355,0,0.33850118262364337
1000356,1,0.33850118262364337
1000357,0,0.33850118262364337
1000358,2,0.33850118262364337
1000359,6,0.33850118262364337
1000361,4,0.33850118262364337
1000363,6,0.33850118262364337
1000365,6,0.33850118262364337
1000366,3,0.33850118262364337
1000367,2,0.33850118262364337
1000368,4,0.33850118262364337
1000369,6,0.33850118262364337
1000371,3,0.33850118262364337
1000374,6,0.33850118262364337
1000375,1,0.33850118262364337
1000376,6,0.33850118262364337
1000377,3,0.33850118262364337
1000378,1,0.33850118262364337
1000380,2,0.33850118262364337
1000381,6,0.33850118262364337
1000382,6,0.33850118262364337
1000383,6,0.33850118262364337
1000385,6,0.33850118262364337
1000386,1,0.33850118262364337
1000387,2,0.33850118262364337
1000388,0,0.33850118262364337
1000389,0,0.33850118262364337
1000390,1,0.33850118262364337
1000392,1,0.33850118262364337
1000393,1,0.33850118262364337
1000395,5,0.33850118262364337
1000396,2,0.33850118262364337
1000397,1,0.33850118262364337
1000398,1,0.33850118262364337
1000399,1,0.33850118262364337
1000400,2,0.33850118262364337
1000401,2,0.33850118262364337
1000402,1,0.33850118262364337
1000403,2,0.33850118262364337
1000404,1,0.33850118262364337
1000405,1,0.33850118262364337
1000406,2,0.33850118262364337
1000407,3,0.33850118262364337
1000408,1,0.33850118262364337
1000409,1,0.33850118262364337
1000410,1,0.33850118262364337
1000411,0,0.33850118262364337
1000412,0,0.33850118262364337
1000413,2,0.33850118262364337
1000414,0,0.33850118262364337
1000415,1,0.33850118262364337
1000416,1,0.33850118262364337
1000417,3,0.33850118262364337
1000418,2,0.33850118262364337
1000419,6,0.33850118262364337
1000420,1,0.33850118262364337
1000421,1,0.33850118262364337
1000422,1,0.33850118262364337
1000423,2,0.33850118262364337
1000424,1,0.33850118262364337
1000425,1,0.33850118262364337
1000426,1,0.33850118262364337
1000427,2,0.33850118262364337
1000428,1,0.33850118262364337
1000429,1,0.33850118262364337
1000430,1,0.33850118262364337
1000431,1,0.33850118262364337
1000432,2,0.33850118262364337
1000433,1,0.33850118262364337
1000434,3,0.33850118262364337
1000435,0,0.33850118262364337
1000436,1,0.33850118262364337
1000437,1,0.33850118262364337
1000438,3,0.33850118262364337
1000439,1,0.33850118262364337
1000440,0,0.33850118262364337
1000441,1,0.33850118262364337
1000442,1,0.33850118262364337
1000443,0,0.33850118262364337
1000444,3,0.33850118262364337
1000445,3,0.33850118262364337
1000446,1,0.33850118262364337
1000447,3,0.33850118262364337
1000448,2,0.33850118262364337
1000449,1,0.33850118262364337
1000450,1,0.33850118262364337
1000451,1,0.33850118262364337
1000452,1,0.33850118262364337
1000453,3,0.33850118262364337
1000454,1,0.33850118262364337
1000455,1,0.33850118262364337
1000456,3,0.33850118262364337
1000457,3,0.33850118262364337
