khipu_id,hierarchy_depth,branching_factor,cord_count,summation_match_rate,has_summation,numeric_coverage,avg_numeric_value,node_density,leaf_ratio,has_aggregation,structural_complexity
1000049,2,2.2,23,0.0,0,0.8695652173913043,33.2,0.0434782608695652,0.5416666666666666,0,3.75
1000050,2,9.0,55,0.0,0,0.7818181818181819,250.62790697674416,0.0181818181818181,0.875,0,4.9
1000051,1,29.0,30,0.0,0,0.8666666666666667,109.84615384615384,0.0333333333333333,0.9354838709677419,0,0.9666666666666667
1000052,3,5.25,43,0.1428571428571428,0,0.7209302325581395,9.741935483870968,0.0232558139534883,0.7954545454545454,1,5.44
1000053,1,287.0,288,0.0,0,0.7881944444444444,125.69162995594714,0.0034722222222222,0.9930795847750865,0,0.9965277777777778
1000054,1,20.0,21,0.0,0,0.9047619047619048,48.0,0.0476190476190476,0.9090909090909091,0,0.9523809523809523
1000055,2,2.2,12,0.0,0,0.9166666666666666,100.45454545454544,0.0833333333333333,0.5384615384615384,0,2.1875
1000056,1,42.0,43,0.0,0,0.0232558139534883,10.0,0.0232558139534883,0.9545454545454546,0,0.9767441860465116
1000057,1,163.0,164,0.0,0,0.676829268292683,82.98198198198199,0.0060975609756097,0.9878787878787879,0,0.9939024390243902
1000058,2,3.117647058823529,54,0.0,0,0.9629629629629628,32.51923076923077,0.0185185185185185,0.6727272727272727,0,8.5
1000059,2,5.0,16,0.0,0,0.9375,46.0,0.0625,0.7647058823529411,0,2.1666666666666665
1000060,3,1.9285714285714288,28,0.0833333333333333,0,0.9285714285714286,21.192307692307693,0.0357142857142857,0.4827586206896552,1,4.439024390243902
1000061,3,2.333333333333333,8,0.0,0,0.625,56.0,0.125,0.5555555555555556,1,1.2000000000000002
1000062,3,2.333333333333333,8,0.0,0,0.75,49.333333333333336,0.125,0.5555555555555556,1,1.2000000000000002
1000063,2,18.789473684210527,358,0.0588235294117647,0,0.4888268156424581,63.48,0.0027932960893854,0.9442896935933147,0,17.13031914893617
1000064,1,23.0,24,0.0,0,0.7916666666666666,22.157894736842103,0.0416666666666666,0.92,0,0.9583333333333334
1000065,1,101.0,102,0.0,0,0.0,0.0,0.0098039215686274,0.9805825242718447,0,0.9901960784313726
1000066,1,7.0,8,0.0,0,0.75,49.0,0.125,0.7777777777777778,0,0.875
1000067,2,6.5,14,0.0,0,0.9285714285714286,56.38461538461539,0.0714285714285714,0.8,0,1.3333333333333333
1000068,1,8.0,9,0.0,0,0.7777777777777778,8.571428571428571,0.1111111111111111,0.8,0,0.8888888888888888
1000069,2,3.0,7,0.0,0,0.8571428571428571,54.833333333333336,0.1428571428571428,0.625,0,1.25
