khipu_id,numeric_entropy_bits,numeric_entropy_per_cord,max_numeric_entropy,normalized_numeric_entropy,num_unique_values,num_cords_with_values,color_entropy_bits,max_color_entropy,normalized_color_entropy,num_unique_colors,num_color_records,structural_level_entropy,structural_branching_entropy,num_levels,num_cords_total,total_information_bits,info_per_cord,num_nodes,depth,avg_branching,min_bits_numeric,min_bits_color,min_bits_structure,total_min_bits,redundancy_ratio,compression_efficiency
1000185,5.691956523742676,0.07589275364990235,5.832890014164741,0.9758381368275728,57.0,75.0,0.9899635012681982,1.584962500721156,0.6245974278998815,3.0,76.0,1.2240349489571138,0.0,3.0,75.0,7.905954973967988,0.052706366493119924,76.0,3.0,2.2058823529411766,5.832890014164741,1.584962500721156,1.584962500721156,9.002815015607053,0.8781647696039987,1.138738463000448
1000186,0.0,0.0,0.0,0.0,1.0,9.0,1.4604846813131116,1.584962500721156,0.9214632400757701,3.0,13.0,0.0,0.0,1.0,12.0,1.4604846813131116,0.06954688958633864,13.0,1.0,12.0,0.0,1.584962500721156,0.0,1.584962500721156,0.9214632400757701,1.085230486153492
1000187,2.5949066182439395,0.23590060165853996,2.807354922057604,0.924324387292664,7.0,11.0,0.43949698692151334,1.0,0.43949698692151334,2.0,11.0,0.9456603046006401,0.0,2.0,11.0,3.980063909766093,0.18091199589845877,12.0,2.0,5.5,2.807354922057604,1.0,1.0,4.807354922057604,0.8279113929167892,1.207858725650496
1000188,2.3928712980591227,0.08862486289107861,3.0,0.7976237660197075,8.0,27.0,0.0,0.0,0.0,1.0,40.0,0.9995256892936492,0.0,2.0,39.0,3.3923969873527717,0.05139995435382987,40.0,2.0,1.95,3.0,0.0,1.0,4.0,0.8480992468381929,1.179107284587399
1000189,0.46899559358928117,0.04689955935892812,1.0,0.46899559358928117,2.0,10.0,0.8935711016541907,1.0,0.8935711016541907,2.0,29.0,0.46899559358928117,0.0,2.0,10.0,1.831562288832753,0.09157811444163765,11.0,2.0,5.0,1.0,1.0,1.0,3.0,0.610520762944251,1.6379459318917773
1000190,2.0,0.5,2.0,1.0,4.0,4.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,9.0,2.0,0.15384615384615385,10.0,1.0,9.0,2.0,0.0,0.0,2.0,1.0,1.0
1000191,3.121928094887363,0.3121928094887363,3.169925001442312,0.9848586617875468,9.0,10.0,0.8453509366224364,1.0,0.8453509366224364,2.0,11.0,0.0,0.0,1.0,10.0,3.967279031509799,0.19836395157548997,11.0,1.0,10.0,3.169925001442312,1.0,0.0,4.169925001442312,0.9514029701103927,1.0510793338010795
1000192,3.588038025197951,0.05980063375329918,4.169925001442312,0.860456248962968,18.0,60.0,2.008371413663466,2.584962500721156,0.7769441193453166,6.0,74.0,1.0971245697587875,0.0,3.0,75.0,6.693534008620205,0.0495817333971867,76.0,2.0,5.769230769230769,4.169925001442312,2.584962500721156,1.584962500721156,8.339850002884624,0.8025964503324419,1.2459561708574614
1000194,0.7219280948873623,0.14438561897747246,1.0,0.7219280948873623,2.0,5.0,1.5304930567574826,1.584962500721156,0.9656336071428252,3.0,9.0,0.5435644431995964,0.0,2.0,8.0,2.7959855948444416,0.21507581498803396,9.0,2.0,4.0,1.0,1.584962500721156,1.0,3.584962500721156,0.7799204578240351,1.2821820353193236
1000195,1.0,0.5,1.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,4.0,0.0,0.0,1.0,3.0,3.0,0.6,4.0,1.0,3.0,1.0,2.0,0.0,3.0,1.0,1.0
