kfg_id,cluster_label,geo_zone,n_cords,n_unique_colors
KH0294,Complex,Arica & N. Chile,275,29
KH0295,Simple,,256,23
KH0296,Simple,,136,12
KH0297,Simple,Central Coast,114,16
KH0298,Simple,Central Coast,41,2
KH0299,Simple,Central Coast,23,4
KH0300,Simple,,111,5
KH0301,Simple,Central Coast,74,5
KH0302,Simple,Central Coast,6,1
KH0303,Simple,Central Coast,35,4
KH0304,Simple,Central Coast,35,6
KH0305,Simple,,73,4
KH0306,Simple,Central Coast,33,9
KH0307,Simple,Central Coast,26,4
KH0308,Simple,Central Coast,26,25
KH0309,Simple,Central Coast,66,8
KH0310,Simple,,74,8
KH0311,Simple,Central Coast,79,7
KH0312,Simple,Central Coast,13,2
KH0313,Simple,Central Coast,24,3
KH0314,Simple,,25,2
KH0315,Simple,Central Coast,11,5
KH0316,Simple,Central Coast,31,4
KH0317,Simple,Central Coast,14,4
KH0318,Simple,Central Coast,7,5
KH0319,Simple,Central Coast,44,13
KH0320,Simple,Arica & N. Chile,23,10
KH0321,Complex,,273,18
KH0322,Simple,,107,8
KH0323,Complex,North Peru Coast,370,63
KH0324,Simple,North Peru Coast,102,14
KH0325,Complex,North Peru Coast,288,22
KH0326,Simple,North Peru Coast,131,36
KH0327,Simple,North Peru Coast,125,19
KH0328,Simple,North Peru Coast,61,6
KH0329,Complex,,1227,129
KH0330,Simple,,69,19
KH0331,Simple,,26,11
KH0332,Simple,,57,20
KH0333,Complex,,230,50
KH0334,Simple,,9,6
KH0335,Simple,,4,4
KH0336,Simple,,5,4
KH0337,Simple,,3,3
KH0338,Simple,,75,5
KH0339,Simple,,55,9
KH0340,Simple,,31,23
KH0341,Simple,,4,1
KH0342,Simple,,10,5
KH0343,Simple,,28,5
KH0344,Simple,,7,2
KH0345,Simple,,33,9
KH0346,Simple,,89,7
KH0347,Simple,,149,11
KH0348,Simple,,76,7
KH0349,Complex,Nazca & Far South,866,37
KH0350,Complex,Nazca & Far South,260,56
KH0351,Simple,Central Coast,55,9
KH0352,Simple,,157,41
KH0353,Simple,,43,14
KH0354,Simple,Ica & Paracas,16,14
KH0355,Simple,Ica & Paracas,12,10
KH0356,Simple,Ica & Paracas,23,4
KH0357,Simple,Ica & Paracas,24,3
KH0358,Complex,Ica & Paracas,321,18
KH0359,Complex,Ica & Paracas,304,29
KH0360,Simple,Central Coast,77,7
KH0361,Simple,Nazca & Far South,40,8
KH0362,Simple,Nazca & Far South,218,8
KH0363,Simple,Central Coast,65,4
KH0364,Simple,Central Coast,44,5
KH0365,Simple,Ica & Paracas,8,1
KH0366,Simple,,24,10
KH0367,Simple,,45,5
KH0368,Simple,,14,6
KH0369,Simple,Arica & N. Chile,126,22
KH0370,Simple,Arica & N. Chile,89,5
KH0371,Simple,Arica & N. Chile,105,6
KH0372,Simple,Arica & N. Chile,100,4
KH0373,Simple,Arica & N. Chile,57,11
KH0374,Simple,Central Coast,13,4
KH0375,Simple,Central Coast,8,2
KH0376,Simple,Central Coast,5,2
KH0377,Simple,Central Coast,33,6
KH0378,Simple,Southern Highlands,32,16
KH0379,Simple,Ica & Paracas,104,10
KH0380,Simple,Ica & Paracas,47,3
KH0381,Simple,,33,5
KH0382,Simple,Ica & Paracas,125,30
KH0383,Simple,Ica & Paracas,133,16
KH0384,Complex,Cañete–Pisco,96,2
KH0385,Simple,Nazca & Far South,58,15
KH0386,Simple,,91,5
KH0387,Simple,,59,8
KH0388,Simple,,11,2
KH0389,Complex,Cañete–Pisco,264,17
KH0390,Simple,,25,5
KH0391,Simple,Ica & Paracas,20,4
KH0392,Simple,Cañete–Pisco,33,7
