kfg_id,value_register,pct_nonzero,pct_round5,entropy_per_cord,max_hier_level,knot_L_ratio,knot_E_ratio,typology_label,geo_zone,provenance_display,has_pp,has_ip,has_cp,has_sp,has_gg,has_gsb,has_is,has_psn,has_adg,log_value_register,log_entropy_per_cord
KH0019,70.0,1.0,1.0,0.04689955935892812,1,0.0,0.0,T1,,Unknown,0,0,0,0,0,0,0,0,0,4.2626798770413155,0.04583299544226036
KH0020,410.0,0.4444444444444444,0.75,0.5,0,1.0,0.0,T1,,Unknown,1,0,0,0,0,0,0,0,0,6.018593214496234,0.4054651081081644
KH0021,37.5,1.0,0.2,0.3121928094887363,0,0.47368421052631576,0.0,T1,,Unknown,1,0,0,0,0,0,0,0,1,3.6506582412937387,0.2716996381763426
KH0022,8.5,0.8,0.13333333333333333,0.05980063375329918,1,0.4823529411764706,0.08235294117647059,T1,,Unknown,1,1,0,0,0,0,0,0,0,2.2512917986064953,0.05808080906964571
KH0023,6.0,1.0,0.0,0.5283208335737187,0,0.3333333333333333,0.0,T1,,Unknown,0,0,0,0,0,0,0,0,0,1.9459101490553132,0.4241696383201021
KH0024,10.0,0.625,0.8,0.14438561897747246,1,0.2,0.0,T1,,Unknown,0,0,0,0,0,0,0,0,1,2.3978952727983707,0.13486791568482887
KH0025,20.5,0.6666666666666666,0.5,0.5,0,0.3333333333333333,0.3333333333333333,T1,,Unknown,0,0,0,0,0,0,0,0,0,3.068052935133617,0.4054651081081644
KH0026,10.0,0.35135135135135137,1.0,0.03009565874071197,1,0.0,0.0,T1,,Unknown,1,1,0,0,0,0,0,0,0,2.3978952727983707,0.029651670492952878
KH0027,3.0,0.5324675324675324,0.12195121951219512,0.07487756231262378,1,0.717391304347826,0.17391304347826086,T1,,Unknown,1,1,1,0,0,1,0,1,0,1.3862943611198906,0.07220675956989782
KH0028,2.0,0.8807692307692307,0.03056768558951965,0.011181586001418466,2,0.5223880597014925,0.27238805970149255,T2,,Unknown,1,1,1,0,0,0,0,1,0,1.0986122886681098,0.011119534198585423
KH0029,10.0,0.7857142857142857,0.4090909090909091,0.13603891137093005,1,0.5,0.5,T1,,Unknown,0,0,0,1,0,0,0,0,0,2.3978952727983707,0.12754757267970812
KH0030,30.0,0.625,0.6,0.10738835685064224,1,0.5918367346938775,0.0,T1,,Unknown,1,0,1,1,1,0,0,0,1,3.4339872044851463,0.10200441140043941
KH0031,36.5,0.8472222222222222,0.3770491803278688,0.04513473103935866,3,0.3333333333333333,0.06944444444444445,T1,,Aankoop,1,0,1,1,0,0,0,1,1,3.624340932976365,0.04414580633038287
KH0032,25.0,0.9285714285714286,0.4230769230769231,0.14896694921204362,1,0.5081967213114754,0.06557377049180328,T1,Cañete–Pisco,La Puntilla (Paracas/Pisco),1,0,0,0,0,0,0,0,0,3.258096538021482,0.13886323362439443
KH0033,15.0,0.3484848484848485,0.2608695652173913,0.1621498345610981,1,0.38095238095238093,0.09523809523809523,T1,Cañete–Pisco,La Puntilla (Paracas/Pisco),1,1,1,1,0,0,0,0,0,2.772588722239781,0.15027159552239533
KH0034,1.0,0.4399260628465804,0.0,0.0048389896089181955,1,0.2625,0.7375,T2,Nazca & Far South,Nazca,0,1,0,0,0,1,0,1,1,0.6931471805599453,0.004827319331791194
KH0035,13.0,0.3333333333333333,0.25,0.5,0,0.5714285714285714,0.0,T1,,Unknown,0,0,0,0,0,0,0,0,0,2.6390573296152584,0.4054651081081644
KH0036,5.5,1.0,0.3888888888888889,0.14675578710381074,0,0.7777777777777778,0.0,T1,,Unknown,0,1,0,0,0,0,0,0,1,1.8718021769015913,0.1369369010085155
KH0037,1.0,0.9333333333333333,0.0,0.09193243057990907,0,0.35714285714285715,0.6428571428571429,T1,,Unknown,0,0,0,0,0,0,0,0,0,0.6931471805599453,0.08794899864994268
KH0038,2.0,0.92,0.21739130434782608,0.12905007084781464,0,0.5769230769230769,0.23076923076923078,T1,,Unknown,1,1,1,0,0,0,0,0,0,1.0986122886681098,0.12137663391644712
KH0039,4.0,0.8,0.0,0.3125,2,0.6363636363636364,0.09090909090909091,T1,,Unknown,0,0,0,0,0,0,0,0,0,1.6094379124341003,0.27193371548364176
KH0040,6.0,0.9047619047619048,0.0,0.15709313782667073,0,0.6296296296296297,0.07407407407407407,T1,,Unknown,1,0,0,0,0,0,0,0,0,1.9459101490553132,0.14591094438967392
KH0041,22.0,0.45454545454545453,0.4,0.46438561897747255,1,0.4444444444444444,0.0,T1,,Unknown,0,0,0,1,0,0,0,0,1,3.1354942159291497,0.3814357817960789
KH0042,5.0,0.7541899441340782,0.2740740740740741,0.030765878044528336,1,0.4484848484848485,0.19393939393939394,T1,Central Coast,Pachacamac,1,1,1,1,0,1,0,1,1,1.791759469228055,0.03030209684667106
KH0043,14.0,0.1875,0.0,0.5283208335737187,0,0.3333333333333333,0.16666666666666666,T1,,Unknown,0,0,0,0,0,0,0,0,0,2.70805020110221,0.4241696383201021
KH0044,24.0,1.0,0.25,0.5,0,0.42857142857142855,0.0,T1,,Unknown,0,0,0,0,0,0,0,0,0,3.2188758248682006,0.4054651081081644
KH0045,57.5,1.0,0.25,0.2987468750600964,1,0.28,0.12,T1,,Unknown,0,0,0,0,0,0,0,0,0,4.069026754237811,0.2613998573149089
KH0046,4.5,0.7368421052631579,0.07142857142857142,0.12338218729169095,1,0.5142857142857142,0.2571428571428571,T1,,Unknown,1,1,0,0,0,0,0,0,0,1.7047480922384253,0.11634394492113538
KH0047,10.0,0.8024691358024691,0.5538461538461539,0.05543321798784085,3,0.45977011494252873,0.0,T1,Central Coast,"Lima (Maranga, Huaca 1)",1,1,1,1,0,0,0,0,1,2.3978952727983707,0.05395131580513555
KH0048,17.5,0.5121951219512195,0.5714285714285714,0.09876001658175593,1,0.3728813559322034,0.0,T1,Central Coast,"Lima (Maranga, Huaca 1)",1,0,1,0,0,0,0,0,1,2.917770732084279,0.09418228631859114
KH0049,13.0,0.9564032697547684,0.17663817663817663,0.017035852268709333,1,0.3414985590778098,0.12247838616714697,T2,Nazca & Far South,South Coast,1,1,0,0,0,0,1,0,0,2.6390573296152584,0.016892369413300717
KH0050,2.0,0.8333333333333334,0.03333333333333333,0.08901459326494968,0,0.46875,0.28125,T1,,Unknown,1,1,1,0,0,0,0,0,1,1.0986122886681098,0.0852732444716418
KH0051,31.0,0.9111111111111111,0.17073170731707318,0.1016589721928462,3,0.47540983606557374,0.11475409836065574,T1,,Unknown,1,0,0,0,0,0,0,0,0,3.4657359027997265,0.09681720021736331
KH0052,10.0,0.9285714285714286,0.5384615384615384,0.08096853620117338,2,0.4107142857142857,0.05357142857142857,T1,,Unknown,1,0,1,1,1,0,0,0,0,2.3978952727983707,0.07785743203659827
KH0053,122.0,0.7142857142857143,0.3,0.26464393446710155,3,0.2857142857142857,0.047619047619047616,T1,,Unknown,1,0,0,0,0,0,0,0,0,4.812184355372417,0.23479060782847275
KH0054,3.0,0.896551724137931,0.038461538461538464,0.1140414455516341,1,0.7241379310344828,0.13793103448275862,T1,,Unknown,0,0,0,1,0,0,0,0,0,1.3862943611198906,0.10799434507841146
KH0055,5.0,0.9119496855345912,0.14482758620689656,0.029968869948352836,1,0.5706521739130435,0.15760869565217392,T1,,Unknown,1,1,1,1,1,0,1,1,0,1.791759469228055,0.029528578433695975
KH0056,10.0,0.8490566037735849,0.6,0.08641699943082355,1,0.4375,0.015625,T1,,Unknown,1,1,1,1,0,0,0,1,1,2.3978952727983707,0.08288512518774543
KH0057,8.0,0.6984126984126984,0.25,0.04802820986935685,2,0.5526315789473685,0.09649122807017543,T1,,Unknown,1,1,1,1,0,0,1,0,1,2.1972245773362196,0.04691050335084437
KH0058,10.0,0.9206349206349206,0.19540229885057472,0.02916044137027139,1,0.56640625,0.078125,T1,,Unknown,1,1,1,1,1,0,1,1,1,2.3978952727983707,0.028743364396700034
KH0059,1.0,0.925,0.02702702702702703,0.03408323713800475,1,0.45,0.4875,T1,Cañete–Pisco,La Centinela / Tambo de Mora,1,1,1,0,0,0,0,1,0,0.6931471805599453,0.0335152729797424
KH0060,2.0,0.7441860465116279,0.046875,0.03589886506933552,1,0.515625,0.46875,T1,Cañete–Pisco,La Centinela / Tambo de Mora,0,0,0,0,0,1,0,1,0,1.0986122886681098,0.03526951848264697
KH0061,30.0,0.43243243243243246,0.51875,0.03497975136911713,1,0.31620553359683795,0.04743083003952569,T1,,Unknown,1,1,1,1,0,0,1,1,0,3.4339872044851463,0.03438186263138409
KH0062,21.5,0.8888888888888888,0.325,0.11663278830562758,1,0.45714285714285713,0.07142857142857142,T1,Cañete–Pisco,Hda. Ullujalla / Callengo,1,0,0,0,0,0,0,1,0,3.1135153092103742,0.11031771787785247
KH0063,1.0,0.673469387755102,0.0,0.03792528886779903,1,0.45454545454545453,0.5454545454545454,T1,Cañete–Pisco,Hda. Ullujalla / Callengo,0,0,0,0,0,0,0,1,1,0.6931471805599453,0.03722380611071442
KH0064,2.0,0.6,0.08333333333333333,0.14838934412674057,0,0.75,0.16666666666666666,T1,Cañete–Pisco,Hda. Ullujalla / Callengo,0,0,0,0,0,0,0,0,0,1.0986122886681098,0.13836039033522024
KH0065,60.0,0.9230769230769231,0.7083333333333334,0.177151215307826,1,0.047619047619047616,0.0,T1,Cañete–Pisco,Hda. Ullujalla / Callengo,1,0,1,1,0,0,0,0,0,4.110873864173311,0.1630972952237213
KH0066,1421.0,1.0,0.0,0.5283208335737187,0,0.18181818181818182,0.09090909090909091,T1,Cañete–Pisco,Hda. Ullujalla / Callengo,0,0,0,0,0,0,0,0,0,7.259819610363186,0.4241696383201021
KH0067,845.0,0.9090909090909091,0.3,0.3321928094887362,1,0.2,0.03333333333333333,T1,Ica & Paracas,Ica Valley (Hda. Callango / Ocucaje),0,0,0,0,0,0,0,0,0,6.740519359606223,0.2868263135110772
KH0068,1.0,0.31239388794567063,0.05434782608695652,0.011790532996735678,1,0.2647058823529412,0.6274509803921569,T2,,Unknown,1,1,1,1,0,1,0,1,1,0.6931471805599453,0.011721566236487301
KH0069,2.0,0.5,0.05263157894736842,0.08948545927662446,0,0.47619047619047616,0.38095238095238093,T1,,Unknown,0,0,0,0,0,0,0,0,1,1.0986122886681098,0.08570552907816086
KH0070,10.0,1.0,0.25,0.3125,0,0.45454545454545453,0.09090909090909091,T1,Nazca & Far South,Chala,0,0,0,0,0,0,0,0,1,2.3978952727983707,0.27193371548364176
KH0071,4.0,1.0,0.26666666666666666,0.17157048415167905,0,0.7333333333333333,0.26666666666666666,T1,Nazca & Far South,Chala,0,0,0,0,0,0,0,0,1,1.6094379124341003,0.1583451428849612
KH0072,2.5,0.8888888888888888,0.125,0.17378994138934792,1,0.5294117647058824,0.35294117647058826,T1,Nazca & Far South,Chala,0,0,1,0,0,0,0,1,0,1.252762968495368,0.16023777983408052
KH0073,7.0,0.8125,0.23076923076923078,0.13106773993673315,1,0.6176470588235294,0.17647058823529413,T1,Nazca & Far South,Chala,0,1,0,0,1,0,0,1,0,2.0794415416798357,0.12316208918368417
KH0074,12.5,0.8,0.125,0.34375,1,0.6153846153846154,0.07692307692307693,T1,Nazca & Far South,Chala,0,0,0,0,0,0,0,0,0,2.6026896854443837,0.2954642128938359
KH0075,7.5,0.8387096774193549,0.19230769230769232,0.15600080646376474,1,0.5555555555555556,0.1111111111111111,T1,Nazca & Far South,Chala,1,0,1,0,0,0,0,0,0,2.1400661634962708,0.14496646788295686
KH0076,5.5,0.5714285714285714,0.5,0.25,0,0.0,0.5,T1,Nazca & Far South,Chala,0,0,0,0,0,0,0,0,0,1.8718021769015913,0.22314355131420976
KH0077,125.0,1.0,0.4,0.46438561897747255,0,0.2727272727272727,0.09090909090909091,T1,Nazca & Far South,Chala,0,0,0,0,0,0,0,0,1,4.836281906951478,0.3814357817960789
KH0078,9.5,0.4,0.0,0.5,0,0.5,0.25,T1,Nazca & Far South,Chala,0,0,0,0,0,0,0,0,1,2.3513752571634776,0.4054651081081644
KH0079,13.0,0.9418604651162791,0.2777777777777778,0.02804044400338982,1,0.5349794238683128,0.03292181069958848,T1,Nazca & Far South,Chala,1,1,1,0,1,1,0,0,1,2.6390573296152584,0.02765450867482968
KH0080,15.0,0.3006134969325153,0.16326530612244897,0.09745996121736004,1,0.4588235294117647,0.15294117647058825,T1,Nazca & Far South,Chala,1,1,1,1,0,0,0,0,1,2.772588722239781,0.09299838349520641
KH0081,49.0,0.9539170506912442,0.25120772946859904,0.03246350572311346,1,0.3767123287671233,0.02511415525114155,T1,Nazca & Far South,Nazca (Monte de Cacatilla),1,1,1,0,1,0,0,0,1,3.912023005428146,0.03194769968176087
KH0082,10.0,0.2184598580010923,0.29,0.013433350071376639,2,0.45410628019323673,0.11916264090177134,T2,Arica & N. Chile,Lluta Valley,1,1,1,1,1,0,1,1,0,2.3978952727983707,0.013343922607756447
KH0083,12.0,0.6040609137055838,0.3389355742296919,0.015563219700392195,5,0.40350877192982454,0.11228070175438597,T2,Chachapoyas,Mollepampa,1,0,1,1,0,0,1,1,0,2.5649493574615367,0.01544335485229591
KH0084,1.0,0.4,0.0,0.007249304692031699,3,0.21212121212121213,0.7818181818181819,T2,Arica & N. Chile,Lluta Valley,1,1,1,0,0,0,0,1,0,0.6931471805599453,0.007223154785811739
KH0085,60.0,0.7333333333333333,0.8863636363636364,0.08498161505595565,1,0.11320754716981132,0.0,T1,Ica & Paracas,Ica Valley (Rancho San Juan),1,1,1,0,0,0,0,1,1,4.110873864173311,0.08156304219997189
KH0086,45.0,0.24,0.8333333333333334,0.430827083453526,0,0.125,0.0,T1,Ica & Paracas,Ica Valley (Rancho San Juan),0,0,0,0,0,0,0,0,0,3.828641396489095,0.3582526571119788
KH0087,4.0,0.3958333333333333,0.07894736842105263,0.08649024965226833,1,0.6938775510204082,0.10204081632653061,T1,,Nazca / Ancon,1,1,1,0,0,1,0,1,0,1.6094379124341003,0.08295254658504936
KH0088,2.0,0.5161290322580645,0.07291666666666667,0.027986777648799654,0,0.5086206896551724,0.33620689655172414,T1,,Nazca / Ancon,1,1,1,0,0,0,0,0,0,1.0986122886681098,0.027602304740915583
KH0089,5.0,1.0,0.0625,0.171875,1,0.8125,0.09375,T1,,Nazca / Ancon,0,0,0,0,0,0,0,0,0,1.791759469228055,0.15860503017663857
KH0090,3.0,0.9090909090909091,0.16666666666666666,0.09245190874250618,0,0.5,0.45,T1,,Nazca / Ancon,1,1,1,0,0,0,0,0,1,1.3862943611198906,0.08842462756106316
KH0091,4.0,0.8518518518518519,0.13043478260869565,0.1340690160879916,0,0.8260869565217391,0.17391304347826086,T1,Nazca & Far South,Nazca (Hda. Copara),0,1,0,0,0,0,0,0,0,1.6094379124341003,0.12581206420140817
KH0092,2.0,0.5675675675675675,0.09523809523809523,0.065254371438689,0,0.6904761904761905,0.2619047619047619,T1,,Nazca / Ancon,0,1,0,0,0,0,0,0,0,1.0986122886681098,0.06321361706342722
KH0093,3.0,0.95,0.07894736842105263,0.06555841967360997,1,0.5,0.45454545454545453,T1,,Nazca / Ancon,1,0,0,0,0,0,0,0,1,1.3862943611198906,0.06349899946609791
KH0094,10.0,1.0,0.5,0.25,0,0.5384615384615384,0.15384615384615385,T1,,Unknown,0,0,0,0,0,0,0,0,0,2.3978952727983707,0.22314355131420976
KH0095,11.5,0.3,0.3333333333333333,0.3752715278979705,1,0.42424242424242425,0.09090909090909091,T1,,Unknown,0,0,0,0,0,0,0,0,0,2.5257286443082556,0.3186511864578336
KH0096,23.0,1.0,0.0,0.0,0,0.5,0.0,T1,,Unknown,0,0,0,0,0,0,0,0,0,3.1780538303479458,0.0
KH0097,33.0,0.8087774294670846,0.22868217054263565,0.019036714424598818,0,0.3856858846918489,0.027833001988071572,T1,,Unknown,1,1,1,0,1,0,0,0,0,3.5263605246161616,0.01885778344883797
KH0098,20.0,0.1111111111111111,0.6,0.3843856189774725,1,0.14285714285714285,0.14285714285714285,T1,,Unknown,1,0,0,0,0,0,0,0,1,3.044522437723423,0.32525644481515265
KH0100,21.5,0.9896907216494846,0.40625,0.05143244597990559,1,0.43386243386243384,0.07407407407407407,T1,,Peru (unknown),1,0,0,1,0,0,0,0,0,3.1135153092103742,0.05015346871391813
KH0101,2.0,0.9578947368421052,0.16483516483516483,0.02866890100762681,1,0.6060606060606061,0.18181818181818182,T1,Central Coast,Huacho / Pachacamac,1,1,1,0,0,0,0,1,1,1.0986122886681098,0.028265637345315887
KH0102,7.5,0.34285714285714286,0.6666666666666666,0.22406015629507228,1,0.3076923076923077,0.23076923076923078,T1,,Peru (unknown),0,0,0,0,0,0,0,0,1,2.1400661634962708,0.20217333018234104
KH0103,211.0,1.0,0.5,0.0917786408171062,1,0.7801418439716312,0.2198581560283688,T1,,Peru (unknown),1,1,1,1,0,0,0,0,0,5.356586274672012,0.08780814689984487
KH0104,5.0,0.8764044943820225,0.16666666666666666,0.05046657507757995,0,0.6504854368932039,0.1650485436893204,T1,,Unknown,1,1,1,0,0,1,0,0,1,1.791759469228055,0.04923442268874364
KH0105,7.5,0.8928571428571429,0.1,0.08283969022357417,0,0.6376811594202898,0.057971014492753624,T1,,Peru (unknown),1,1,1,0,0,0,0,0,1,2.1400661634962708,0.07958693326130228
KH0106,4.0,0.8142857142857143,0.17543859649122806,0.058278758137493364,0,0.8387096774193549,0.0967741935483871,T1,,Peru (unknown),1,1,1,0,0,1,0,0,0,1.6094379124341003,0.056643775232736435
KH0107,1.0,0.7450980392156863,0.0,0.04588636083295098,2,0.39473684210526316,0.6052631578947368,T1,,Peru (unknown),0,0,0,0,0,0,0,0,0,0.6931471805599453,0.04486471808970103
KH0108,11.0,0.9245283018867925,0.22448979591836735,0.02537702036793688,3,0.44808743169398907,0.24043715846994534,T1,Central Coast,Pachacamac,1,1,1,1,0,0,1,1,0,2.4849066497880004,0.025060369708638862
KH0109,2.5,0.6976744186046512,0.13333333333333333,0.05485957443362506,1,0.49295774647887325,0.29577464788732394,T1,Central Coast,Pachacamac,1,1,1,0,1,0,0,0,0,1.252762968495368,0.05340765326654835
KH0110,1.0,0.734375,0.425531914893617,0.02649647323980697,0,0.46808510638297873,0.5319148936170213,T1,Central Coast,Pachacamac,0,1,0,0,0,0,0,0,0,0.6931471805599453,0.026151521757171215
KH0111,10.0,0.5643564356435643,0.40350877192982454,0.06776083590415165,1,0.43661971830985913,0.07042253521126761,T1,Ica & Paracas,Between Ica and Pisco,1,1,1,1,0,0,1,0,0,2.3978952727983707,0.06556377904116556
KH0112,229.0,1.0,0.1875,0.10962171225272942,0,0.3464566929133858,0.007874015748031496,T1,Central Coast,Pachacamac,1,0,1,0,0,0,0,0,1,5.438079308923196,0.10401915746648714
KH0113,5.0,0.9452054794520548,0.21739130434782608,0.05794271761707877,1,0.6705882352941176,0.09411764705882353,T1,Ica & Paracas,Ica,1,1,1,1,1,0,0,0,1,1.791759469228055,0.05632618983150218
KH0114,80.0,1.0,1.0,0.11271959379903211,1,0.0,0.0,T1,Central Coast,Pachacamac,0,0,0,1,0,0,0,0,1,4.394449154672439,0.10680710326439563
KH0115,40.0,1.0,1.0,0.09402051636228548,1,0.0,0.0,T1,Central Coast,Pachacamac,1,0,0,0,0,0,0,1,0,3.713572066704308,0.08985945735436969
KH0116,28.0,1.0,0.9,0.14518508480286743,1,0.13636363636363635,0.0,T1,Central Coast,Pachacamac,1,0,1,0,0,0,0,0,0,3.367295829986474,0.13556627005891872
KH0117,79.0,0.9577464788732394,0.29411764705882354,0.0848697444205658,1,0.31333333333333335,0.03333333333333333,T1,Ica & Paracas,Ica,1,0,0,1,0,0,0,0,0,4.382026634673881,0.08145992856041277
KH0118,2578.0,1.0,0.19047619047619047,0.20915797251327423,0,0.24050632911392406,0.012658227848101266,T1,Central Coast,Pachacamac,0,0,0,0,0,0,0,0,0,7.8551570058813445,0.18992422687957877
KH0119,14.0,0.9090909090909091,0.2,0.18207230355827606,1,0.4,0.2,T1,Ica & Paracas,Ica,1,0,0,0,0,0,0,0,1,2.70805020110221,0.16726908763614248
KH0120,45.0,0.8,0.5454545454545454,0.11296757035935649,1,0.3150684931506849,0.0136986301369863,T1,Central Coast,Marquez,1,0,1,0,0,0,0,0,1,3.828641396489095,0.10702993472547766
KH0121,45.0,0.896551724137931,0.6153846153846154,0.16375984862032766,0,0.275,0.05,T1,Central Coast,Marquez,1,0,0,0,0,0,0,0,1,3.828641396489095,0.1516560124049759
KH0122,3.0,0.7380952380952381,0.12903225806451613,0.07307163286753578,2,0.65625,0.3125,T1,Ica & Paracas,Between Ica and Pisco,1,1,0,0,0,0,0,1,0,1.3862943611198906,0.07052522084945378
KH0123,110.0,0.7909407665505227,0.7929515418502202,0.019230427653004475,0,0.1443850267379679,0.02406417112299465,T1,Ica & Paracas,Ica,1,1,1,0,1,1,0,0,1,4.709530201312334,0.019047859837737054
KH0124,11.0,0.95,0.21052631578947367,0.20486353255751982,0,0.5862068965517241,0.034482758620689655,T1,Central Coast,Pachacamac,1,0,1,0,0,0,0,0,0,2.4849066497880004,0.18636630953963065
KH0125,40.0,1.0,1.0,0.22561041572600662,1,0.07142857142857142,0.0,T1,Central Coast,Pachacamac,0,0,0,0,0,0,0,1,1,3.713572066704308,0.20343901843903642
KH0126,10.0,0.023809523809523808,1.0,0.0,0,0.0,0.0,T1,Central Coast,Pachacamac,0,0,0,0,0,0,0,0,0,2.3978952727983707,0.0
KH0127,49.0,0.6809815950920245,0.17117117117117117,0.05268733147927993,0,0.38425925925925924,0.06481481481481481,T1,Ica & Paracas,Between Ica and Pisco,1,1,1,0,0,0,0,0,1,3.912023005428146,0.051346257890275394
KH0128,20.0,0.49019607843137253,0.34285714285714286,0.03202498647835216,1,0.3971631205673759,0.09219858156028368,T1,Ica & Paracas,Between Ica and Pisco,1,0,1,1,0,0,0,1,0,3.044522437723423,0.03152287847010204
KH0129,241.5,0.7636363636363637,0.16666666666666666,0.11732854691178062,0,0.34146341463414637,0.0,T1,Ica & Paracas,Ica,1,1,0,0,0,0,0,0,1,5.491001710377538,0.11094061015237898
KH0130,32.0,0.9230769230769231,0.08333333333333333,0.26572682296173894,0,0.5,0.05,T1,Ica & Paracas,Ica,1,0,0,0,0,0,0,0,0,3.4965075614664802,0.23564652078713097
KH0131,5.0,1.0,0.2727272727272727,0.23184915541330806,0,0.3125,0.25,T1,Ica & Paracas,Ica,0,1,0,0,0,0,0,0,0,1.791759469228055,0.20851641882718844
KH0132,574.0,0.8,0.4375,0.25,1,0.23529411764705882,0.0,T1,Central Coast,Pachacamac,0,0,0,0,0,0,0,0,0,6.354370040797351,0.22314355131420976
KH0133,11400.0,0.8181818181818182,0.4444444444444444,0.35221388904914586,1,0.1724137931034483,0.0,T1,Central Coast,Pachacamac,0,0,0,0,0,0,0,0,0,9.34145634983372,0.3017431670675894
KH0134,3655.0,1.0,0.25,0.14360902781784202,1,0.17829457364341086,0.046511627906976744,T1,Ica & Paracas,Ica,0,1,1,0,0,0,0,0,0,8.204124932574041,0.13418907564423624
KH0135,4.0,0.07473309608540925,0.09523809523809523,0.13859240453421817,1,0.625,0.20833333333333334,T1,Central Coast,Pachacamac,1,1,0,0,0,0,0,0,0,1.6094379124341003,0.129792766631001
KH0136,68.0,1.0,0.4444444444444444,0.35221388904914586,1,0.375,0.0,T1,Central Coast,Lima,0,0,0,0,0,0,0,0,0,4.23410650459726,0.3017431670675894
