primary_color,n,median,mean,std,p25,p75,pct_ge10,pct_ge100,pct_ge1000
0G,77,14.0,174.83116883116884,513.8824205726596,3.0,45.0,59.74025974025974,18.181818181818183,6.493506493506493
W,14443,13.0,278.47988645018347,3270.0962210456996,4.0,50.0,58.87973412725888,17.932562487017933,4.472754967804473
W-HB,50,13.0,55.1,111.02422056029219,3.0,44.0,57.99999999999999,14.000000000000002,0.0
AB-KB,43,12.0,74.06976744186046,201.14652268443484,5.0,35.0,60.46511627906976,13.953488372093023,2.3255813953488373
RL,315,11.0,174.32380952380953,1287.30279050086,3.0,27.0,56.82539682539682,12.063492063492063,1.9047619047619049
CB,150,11.0,98.1,343.7926788636845,4.0,51.5,57.333333333333336,15.333333333333332,1.3333333333333335
GY,44,10.5,61.95454545454545,154.20749454617044,2.0,42.5,54.54545454545454,18.181818181818183,0.0
MG,88,10.0,13.136363636363637,11.174871048325722,4.0,20.0,63.63636363636363,0.0,0.0
PG,66,10.0,32.15151515151515,61.01430914749361,2.0,29.0,53.03030303030303,12.121212121212121,0.0
PK,220,10.0,145.72272727272727,795.8264997761462,4.0,40.0,56.81818181818182,11.818181818181818,3.1818181818181817
0B,75,10.0,118.05333333333333,336.51359931289926,1.0,50.0,53.333333333333336,24.0,4.0
W-KB,213,10.0,124.16901408450704,749.0226837242363,2.0,22.0,55.86854460093896,9.389671361502346,2.8169014084507045
G0,121,10.0,84.02479338842976,440.3801854233439,4.0,48.0,56.19834710743802,11.570247933884298,0.8264462809917356
YB,3230,10.0,91.81331269349845,568.5290617298737,3.0,34.0,50.27863777089784,13.560371517027864,1.7027863777089782
BL,111,10.0,661.2072072072073,2076.7557352629565,3.0,63.5,52.25225225225225,20.72072072072072,11.711711711711711
BD,25,10.0,17.88,32.98524922850617,5.0,12.0,60.0,4.0,0.0
B,2112,10.0,273.1183712121212,2748.3745238172623,3.0,31.0,50.89962121212122,14.015151515151514,3.6931818181818183
AB,7126,10.0,260.85363457760315,3675.0783594336667,2.0,43.0,51.82430536065114,17.62559640752175,3.143418467583497
RM,112,10.0,104.54464285714286,588.6916305052233,3.0,34.0,51.78571428571429,11.607142857142858,0.8928571428571428
AB-MB,68,9.5,257.8235294117647,1763.3906361205122,2.0,59.25,50.0,14.705882352941178,1.4705882352941175
LG,186,9.0,134.1505376344086,499.0761399146844,2.25,31.5,47.31182795698925,13.440860215053762,3.225806451612903
FB,65,9.0,194.15384615384616,941.8980377203992,8.0,13.0,47.69230769230769,4.615384615384616,4.615384615384616
EB,72,8.5,66.76388888888889,292.5960294059032,6.0,20.0,44.44444444444444,5.555555555555555,2.7777777777777777
PB,179,8.0,147.70391061452514,799.1048830320992,4.0,24.0,48.60335195530726,10.05586592178771,2.2346368715083798
BG,263,8.0,136.2281368821293,1020.2513204672746,3.0,33.5,45.627376425855516,9.505703422053232,1.520912547528517
W-AB,180,8.0,186.8388888888889,725.1605344431276,2.0,32.0,45.55555555555556,17.77777777777778,5.0
HB,474,7.5,93.31856540084388,388.37087747495275,2.0,24.0,46.20253164556962,11.814345991561181,2.320675105485232
YY,214,6.5,212.52336448598132,1648.9925383306977,2.0,24.5,45.32710280373832,10.2803738317757,1.4018691588785046
RB,489,6.0,27.957055214723926,79.27406417187692,2.0,19.0,44.171779141104295,6.748466257668712,0.0
PR,126,6.0,29.095238095238095,102.03712489649469,2.0,11.75,38.88888888888889,5.555555555555555,0.0
MB,4558,6.0,143.85081175954366,1152.2471878305905,2.0,25.0,43.59368143922773,10.706450197455023,2.6107942079859585
LB,671,6.0,102.00894187779434,571.5220030059415,2.0,30.0,45.603576751117735,11.177347242921014,2.682563338301043
KB,937,6.0,102.79188900747064,651.938288872685,2.0,20.0,41.94236926360726,8.32443970117396,2.3479188900747063
GG,587,6.0,349.6916524701874,2103.9394080500274,2.0,35.0,46.33730834752981,13.969335604770016,3.9182282793867125
GB,25,5.0,70.16,180.88732220178764,1.0,10.0,32.0,12.0,0.0
FR,37,5.0,19.81081081081081,31.907712266818855,1.0,21.0,37.83783783783784,5.405405405405405,0.0
BS,310,5.0,66.59354838709677,457.23517203649027,2.0,13.75,32.25806451612903,5.806451612903226,1.2903225806451613
LC,98,5.0,49.16326530612245,133.42550289287857,2.0,12.75,27.55102040816326,11.224489795918368,0.0
BB,153,4.0,29.62091503267974,156.70370996749966,2.0,10.0,32.6797385620915,1.9607843137254901,1.3071895424836601
W-RL,47,3.0,6.531914893617022,8.657369476548233,1.0,10.5,27.659574468085108,0.0,0.0
R,50,2.0,6.54,9.953381129966205,2.0,5.75,18.0,0.0,0.0
W(0.0-5.0)/W,28,1.0,5.535714285714286,10.232418138073765,1.0,5.25,17.857142857142858,0.0,0.0
