kfg_id,has_pp,has_ip,has_cp,has_sp,has_gg,has_gsb,has_is,has_psn,has_adg,n_pp,n_ip,n_cp,n_pattern_types,n_cords,n_pendants,n_subsidiaries,n_groups,numeric_coverage,frac_broken,n_colors,region,creation_date,provenance_display,geo_zone
KH0042,1,1,1,1,0,1,0,1,1,418,24,40,7,179,71,0,18,0.7541899441340782,0.0111731843575419,5,Unknown,04/05/2006,Pachacamac,Central Coast
KH0043,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,4,0.1875,0.0,4,Unknown,01/09/2004,Unknown,
KH0044,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1.0,0.0,1,Unknown,01/09/2004,Unknown,
KH0045,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,4,1.0,0.0,4,Unknown,01/21/2004,Unknown,
KH0046,1,1,0,0,0,0,0,0,0,54,4,0,2,38,1,0,8,0.7368421052631579,0.18421052631578946,6,Unknown,01/21/2004,Unknown,
KH0047,1,1,1,1,0,0,0,0,1,212,4,7,5,81,5,2,9,0.8024691358024691,0.4691358024691358,7,Unknown,03/17/2004,"Lima (Maranga, Huaca 1)",Central Coast
KH0048,1,0,1,0,0,0,0,0,1,170,0,2,3,82,4,0,7,0.5121951219512195,0.6219512195121951,8,Unknown,03/24/2004,"Lima (Maranga, Huaca 1)",Central Coast
KH0049,1,1,0,0,0,0,1,0,0,5,20,0,3,367,259,0,7,0.9564032697547684,0.0326975476839237,7,Unknown,05/25/2012,South Coast,Nazca & Far South
KH0050,1,1,1,0,0,0,0,0,1,28,5,6,4,36,0,0,11,0.8333333333333334,0.7222222222222222,4,Unknown,02/10/2004,Unknown,
KH0051,1,0,0,0,0,0,0,0,0,6,0,0,1,45,14,4,3,0.9111111111111111,0.022222222222222223,2,Unknown,01/21/2004,Unknown,
KH0052,1,0,1,1,1,0,0,0,0,7,0,1,4,56,20,4,10,0.9285714285714286,0.05357142857142857,4,Unknown,02/04/2004,Unknown,
KH0053,1,0,0,0,0,0,0,0,0,2,0,0,1,14,1,2,3,0.7142857142857143,0.21428571428571427,5,Unknown,02/06/2004,Unknown,
KH0054,0,0,0,1,0,0,0,0,0,0,0,0,1,29,2,0,3,0.896551724137931,0.034482758620689655,7,Unknown,02/06/2004,Unknown,
KH0055,1,1,1,1,1,0,1,1,0,222,31,24,7,159,59,0,29,0.9119496855345912,0.0880503144654088,5,Unknown,06/01/2006,Unknown,
KH0056,1,1,1,1,0,0,0,1,1,44,1,1,6,53,13,0,10,0.8490566037735849,0.16981132075471697,6,Unknown,02/09/2004,Unknown,
KH0057,1,1,1,1,0,0,1,0,1,145,54,10,6,126,40,6,28,0.6984126984126984,0.031746031746031744,9,Unknown,01/30/2012,Unknown,
KH0058,1,1,1,1,1,0,1,1,1,115,8,3,8,189,102,0,22,0.9206349206349206,0.07407407407407407,11,Unknown,11/22/2011,Unknown,
KH0059,1,1,1,0,0,0,0,1,0,76,21,36,4,80,28,0,12,0.925,0.0,6,Unknown,02/27/2004,La Centinela / Tambo de Mora,Cañete–Pisco
KH0060,0,0,0,0,0,1,0,1,0,0,0,0,2,86,25,0,3,0.7441860465116279,0.06976744186046512,4,Unknown,03/03/2004,La Centinela / Tambo de Mora,Cañete–Pisco
KH0061,1,1,1,1,0,0,1,1,0,722,8,66,6,370,57,0,17,0.43243243243243246,0.8243243243243243,8,Unknown,06/21/2006,Unknown,
KH0062,1,0,0,0,0,0,0,1,0,6,0,0,2,45,10,0,10,0.8888888888888888,0.13333333333333333,4,Unknown,02/10/2004,Hda. Ullujalla / Callengo,Cañete–Pisco
KH0063,0,0,0,0,0,0,0,1,1,0,0,0,2,49,29,0,4,0.673469387755102,0.04081632653061224,3,Ica,10/07/2003,Hda. Ullujalla / Callengo,Cañete–Pisco
KH0064,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,2,0.6,0.05,2,Unknown,10/07/2003,Hda. Ullujalla / Callengo,Cañete–Pisco
KH0065,1,0,1,1,0,0,0,0,0,8,0,2,3,26,5,0,4,0.9230769230769231,0.07692307692307693,6,Unknown,10/21/2003,Hda. Ullujalla / Callengo,Cañete–Pisco
KH0066,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1.0,0.0,2,Unknown,11/10/2003,Hda. Ullujalla / Callengo,Cañete–Pisco
KH0067,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,2,0.9090909090909091,0.2727272727272727,5,Unknown,04/13/2007,Ica Valley (Hda. Callango / Ocucaje),Ica & Paracas
KH0068,1,1,1,1,0,1,0,1,1,4728,408,697,7,589,29,0,94,0.31239388794567063,0.03904923599320883,6,Unknown,11/10/2003,Unknown,
KH0069,0,0,0,0,0,0,0,0,1,0,0,0,1,38,0,0,9,0.5,0.07894736842105263,2,Unknown,10/14/2003,Unknown,
KH0070,0,0,0,0,0,0,0,0,1,0,0,0,1,8,0,0,2,1.0,0.0,2,Unknown,10/09/2003,Chala,Nazca & Far South
KH0071,0,0,0,0,0,0,0,0,1,0,0,0,1,15,0,0,4,1.0,0.0,2,Unknown,10/09/2003,Chala,Nazca & Far South
KH0072,0,0,1,0,0,0,0,1,0,0,0,1,2,18,9,0,3,0.8888888888888888,0.0,2,Unknown,10/14/2003,Chala,Nazca & Far South
KH0073,0,1,0,0,1,0,0,1,0,0,1,0,3,32,16,0,8,0.8125,0.09375,2,Unknown,10/20/2003,Chala,Nazca & Far South
KH0074,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,3,0.8,0.0,2,Unknown,02/13/2004,Chala,Nazca & Far South
KH0075,1,0,1,0,0,0,0,0,0,5,0,2,2,31,7,0,3,0.8387096774193549,0.1935483870967742,2,Unknown,02/20/2004,Chala,Nazca & Far South
KH0076,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0.5714285714285714,0.2857142857142857,2,Unknown,02/17/2004,Chala,Nazca & Far South
KH0077,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,2,1.0,0.2,2,Unknown,02/17/2004,Chala,Nazca & Far South
KH0078,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,2,0.4,0.0,2,Unknown,02/20/2004,Chala,Nazca & Far South
KH0079,1,1,1,0,1,1,0,0,1,1275,134,159,6,172,1,0,61,0.9418604651162791,0.10465116279069768,4,Unknown,02/16/1970,Chala,Nazca & Far South
KH0080,1,1,1,1,0,0,0,0,1,386,4,1,5,163,20,0,16,0.3006134969325153,0.0,5,Unknown,02/22/1970,Chala,Nazca & Far South
KH0081,1,1,1,0,1,0,0,0,1,433,46,62,5,217,1,0,33,0.9539170506912442,0.11059907834101383,6,Unknown,10/01/2017,Nazca (Monte de Cacatilla),Nazca & Far South
KH0082,1,1,1,1,1,0,1,1,0,16242,1451,10013,7,1831,171,10,458,0.2184598580010923,0.0016384489350081922,13,Unknown,07/22/2003,Lluta Valley,Arica & N. Chile
KH0083,1,0,1,1,0,0,1,1,0,22,0,2,5,591,225,278,15,0.6040609137055838,0.0,18,"Inka, Playa Miller",03/03/2005,Mollepampa,Chachapoyas
KH0084,1,1,1,0,0,0,0,1,0,165,21,65,4,405,139,14,25,0.4,0.0,14,Unknown,02/11/1970,Lluta Valley,Arica & N. Chile
KH0085,1,1,1,0,0,0,0,1,1,71,1,11,5,60,24,0,14,0.7333333333333333,0.6166666666666667,1,Unknown,02/10/1970,Ica Valley (Rancho San Juan),Ica & Paracas
KH0086,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,5,0.24,1.0,1,Unknown,10/14/2003,Ica Valley (Rancho San Juan),Ica & Paracas
KH0087,1,1,1,0,0,1,0,1,0,14,12,1,5,96,3,0,21,0.3958333333333333,0.052083333333333336,5,Unknown,02/10/1970,Nazca / Ancon,
KH0088,1,1,1,0,0,0,0,0,0,399,56,190,3,186,0,0,38,0.5161290322580645,0.0967741935483871,4,Unknown,05/08/2006,Nazca / Ancon,
KH0089,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,2,1.0,0.0,3,Unknown,02/17/2004,Nazca / Ancon,
KH0090,1,1,1,0,0,0,0,0,1,6,6,3,4,33,0,0,9,0.9090909090909091,0.06060606060606061,4,Unknown,02/17/2004,Nazca / Ancon,
