kfg_id,n_cords,n_pendants,n_leaves,leaf_ratio,depth,mean_branching,branching_cv,branching_entropy,widest_level,balance_score,subtree_size_cv,beh_label,typology_label,geo_zone
KH0161,90,88,88,0.9777777777777777,1,0.022727272727272728,6.557438524302,0.15649106290570153,0,0.8542791439044,0.1457208560956,B3,T1,Central Coast
KH0162,123,110,110,0.8943089430894309,1,0.11818181818181818,2.731581677625339,0.5241118769066088,0,0.7112962454542324,0.2887037545457676,B3,T1,Ica & Paracas
KH0163,18,18,18,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B6,T1,Ica & Paracas
KH0164,20,20,20,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B6,T1,Ica & Paracas
KH0165,112,112,112,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B6,T1,Ica & Paracas
KH0166,41,27,29,0.7073170731707317,2,0.48148148148148145,1.3099527973789542,1.2538013905715866,0,0.5134161623595122,0.48658383764048785,B4,T1,Ica & Paracas
KH0167,47,23,29,0.6170212765957447,2,0.8695652173913043,1.236931687685298,1.5416892248400096,0,0.33122410019141646,0.6687758998085835,B4,T1,Central Coast
KH0168,118,80,95,0.8050847457627118,1,0.475,1.9685899167647418,1.2740158793413434,0,0.36604731494016796,0.633952685059832,B3,T1,Ica & Paracas
KH0169,40,21,25,0.625,1,0.9047619047619048,0.7554052681267013,1.4607210985246075,0,0.6411824976398169,0.35881750236018306,B3,T1,
KH0170,3,3,3,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B5,T1,Central Coast
KH0171,9,6,6,0.6666666666666666,1,0.5,1.0,1.0,0,0.6666666666666667,0.3333333333333333,B5,T1,Central Coast
KH0172,65,65,65,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B6,T1,Central Coast
KH0173,34,18,18,0.5294117647058824,1,0.8888888888888888,0.35355339059327384,0.5032583347756457,0,0.8336219338384594,0.1663780661615406,B3,T1,
KH0174,18,18,18,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B3,T1,Central Coast
KH0175,53,35,37,0.6981132075471698,1,0.5142857142857142,1.1732617823301599,1.2431803979668354,0,0.6015337343029645,0.3984662656970354,B3,T1,Ica & Paracas
KH0176,23,23,23,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B3,T1,Ica & Paracas
KH0177,8,8,8,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B3,T1,Ica & Paracas
KH0178,16,16,16,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B3,T1,Ica & Paracas
KH0179,5,5,5,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B5,T1,Ica & Paracas
KH0180,27,26,26,0.9629629629629629,1,0.038461538461538464,4.999999999999999,0.2351933818192415,0,0.8148148148148149,0.18518518518518512,B3,T1,Central Coast
KH0181,33,22,23,0.696969696969697,1,0.5,1.1677484162422844,1.2072100267448116,0,0.6107505279192385,0.3892494720807615,B3,T1,Ica & Paracas
KH0182,21,19,19,0.9047619047619048,1,0.10526315789473684,2.91547594742265,0.4854607607459134,0,0.7223356240549856,0.2776643759450143,B5,T1,Central Coast
KH0183,362,222,273,0.7541436464088398,2,0.545045045045045,1.601025045600341,1.4339530577094495,0,0.34182220500174887,0.6581777949982511,B4,T2,Ica & Paracas
KH0184,9,9,9,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B5,T1,Central Coast
KH0185,18,18,18,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B6,T1,
KH0186,30,30,30,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B3,T1,
KH0187,125,101,101,0.808,2,0.21782178217821782,1.894969416879621,0.756170148929897,0,0.6203580634334505,0.3796419365665495,B4,T1,Central Coast
KH0188,24,23,23,0.9583333333333334,1,0.043478260869565216,4.690415759823431,0.2580186686648155,0,0.8045660100073571,0.19543398999264294,B3,T1,Ica & Paracas
KH0189,59,32,34,0.576271186440678,3,0.71875,0.7157425057893186,1.0794391616491377,0,0.5090593776962631,0.4909406223037369,B6,T1,Central Coast
KH0190,15,13,13,0.8666666666666667,1,0.15384615384615385,2.3452078799117144,0.6193821946787638,0,0.6873056160117714,0.31269438398822863,B3,T1,Ica & Paracas
KH0191,27,13,14,0.5185185185185185,2,1.0,0.3922322702763681,0.7732283485249177,0,0.7037037037037037,0.2962962962962963,B4,T1,Ica & Paracas
KH0192,338,224,231,0.6834319526627219,3,0.41964285714285715,1.3182907297582696,1.0661545894404496,0,0.5069546377754253,0.4930453622245748,B4,T2,Central Coast
KH0193,303,219,253,0.834983498349835,2,0.3333333333333333,2.7844972001304384,1.0034339241548085,0,0.2596512998874181,0.7403487001125819,B4,T2,Nazca & Far South
KH0194,15,15,15,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B5,T1,Central Coast
KH0195,30,29,29,0.9666666666666667,1,0.034482758620689655,5.291502622129182,0.21639693245126465,0,0.8236165792623606,0.17638342073763938,B3,T1,Central Coast
KH0196,28,27,27,0.9642857142857143,1,0.037037037037037035,5.0990195135927845,0.22853814395352803,0,0.8178921602288292,0.18210783977117087,B6,T1,Ica & Paracas
KH0197,35,27,29,0.8285714285714286,1,0.2962962962962963,2.0155644370746377,0.968270247409618,0,0.5392995572400828,0.4607004427599172,B6,T1,Ica & Paracas
KH0198,149,41,95,0.6375838926174496,4,1.6341463414634145,0.8194016257498988,2.125688143400775,1,0.18972411958192925,0.8102758804180707,B4,T2,
KH0199,5,5,5,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B5,T1,
KH0200,22,22,22,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B6,T1,
KH0201,7,4,4,0.5714285714285714,1,0.75,0.5773502691896257,0.8112781244591328,0,0.7525641703473033,0.24743582965269675,B5,T1,
KH0202,9,9,9,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B5,T1,
KH0203,30,23,24,0.8,2,0.21739130434782608,1.8973665961010275,0.7553754125614287,0,0.4729537233052702,0.5270462766947298,B4,T1,
KH0204,64,32,43,0.671875,1,1.0,0.9354143466934853,1.7961252463298516,0,0.5322928266532574,0.46770717334674267,B3,T1,
KH0205,3,3,3,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B5,T1,Central Coast
KH0206,12,12,12,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B5,T1,Central Coast
KH0207,35,23,23,0.6571428571428571,1,0.5217391304347826,0.957427107756338,0.9986359641585719,0,0.6717392773406842,0.32826072265931583,B3,T1,Central Coast
KH0208,101,101,101,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B1,T1,
KH0209,7,7,7,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B5,T1,Ica & Paracas
KH0210,13,10,12,0.9230769230769231,1,0.3,3.0000000000000004,0.46899559358928117,0,0.3076923076923076,0.6923076923076924,B5,T1,Ica & Paracas
KH0211,8,8,8,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B5,T1,Ica & Paracas
KH0212,7,2,5,0.7142857142857143,2,1.5,1.0,1.0,1,0.2857142857142857,0.7142857142857143,B5,T1,Ica & Paracas
KH0213,7,1,5,0.7142857142857143,2,3.0,0.0,0.0,1,1.0,0.0,B5,T1,Ica & Paracas
KH0214,6,5,5,0.8333333333333334,1,0.2,2.0000000000000004,0.7219280948873623,0,0.6666666666666665,0.3333333333333334,B6,T1,Ica & Paracas
KH0215,11,9,9,0.8181818181818182,1,0.2222222222222222,1.8708286933869709,0.7642045065086203,0,0.6598493284750963,0.34015067152490375,B6,T1,Ica & Paracas
KH0216,19,19,19,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B3,T1,
KH0217,86,85,85,0.9883720930232558,1,0.011764705882352941,9.165151389911681,0.0922772477445739,0,0.8934284722103293,0.10657152778967072,B3,T1,
KH0218,64,37,37,0.578125,1,0.7297297297297297,0.6085806194501847,0.8418521897563208,0,0.7432550511694533,0.2567449488305466,B3,T1,Central Coast
KH0219,18,10,10,0.5555555555555556,1,0.8,0.5,0.7219280948873623,0,0.7777777777777778,0.22222222222222224,B3,T1,Ica & Paracas
KH0220,30,30,30,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B2,T1,
KH0221,37,37,37,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B2,T1,
KH0222,20,12,12,0.6,1,0.6666666666666666,0.7071067811865476,0.9182958340544894,0,0.717157287525381,0.282842712474619,B2,T1,Ica & Paracas
KH0223,21,10,15,0.7142857142857143,1,1.1,0.9491187735373227,1.8464393446710157,1,0.5028425471947358,0.4971574528052643,B2,T1,Ica & Paracas
KH0224,32,30,30,0.9375,1,0.06666666666666667,3.7416573867739418,0.3533593350214213,0,0.7661464133266287,0.23385358667337136,B6,T1,
KH0225,253,211,220,0.8695652173913043,2,0.1943127962085308,2.5309505894776287,0.7439699274152705,0,0.5717340689144178,0.4282659310855822,B4,T1,
KH0226,28,17,18,0.6428571428571429,1,0.6470588235294118,0.9090909090909091,1.253297578463043,0,0.6428571428571428,0.35714285714285715,B3,T1,
KH0227,14,14,14,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B3,T1,
KH0228,218,163,169,0.7752293577981652,2,0.3312883435582822,1.6736479300288896,1.0385395633673145,0,0.5758926850889461,0.42410731491105397,B4,T1,
KH0229,143,56,100,0.6993006993006993,1,1.5535714285714286,0.8061561262114473,2.2138120598621973,1,0.5095413777594692,0.49045862224053083,B3,T1,
KH0230,39,30,30,0.7692307692307693,1,0.3,1.5275252316519465,0.8812908992306927,0,0.6474941773110893,0.35250582268891073,B3,T1,
KH0231,68,50,50,0.7352941176470589,1,0.36,1.3333333333333333,0.9426831892554923,0,0.6470588235294117,0.35294117647058826,B3,T1,
KH0232,100,68,69,0.69,1,0.47058823529411764,1.1215224028078976,1.0881026589484764,0,0.6411128311014729,0.3588871688985272,B3,T1,
KH0233,36,18,18,0.5,1,1.0,0.0,0.0,0,1.0,0.0,B3,T1,
KH0234,20,20,20,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B3,T1,
KH0235,37,28,32,0.8648648648648649,1,0.32142857142857145,2.3596400646217,0.9487147438679151,0,0.42603349779472155,0.5739665022052785,B2,T1,Nazca & Far South
KH0236,5,2,3,0.6,1,1.5,0.3333333333333333,1.0,1,0.8,0.2,B2,T1,Nazca & Far South
KH0237,572,407,493,0.8618881118881119,2,0.35872235872235875,5.239229092739458,0.8120953240887923,0,0.0,1.6678138422414668,B4,T2,Chachapoyas
KH0238,116,72,80,0.6896551724137931,2,0.5555555555555556,1.3711309200802089,1.3641753645524288,0,0.44719932614202074,0.5528006738579793,B4,T1,Chachapoyas
KH0239,758,281,552,0.7282321899736148,4,1.395017793594306,1.4894464225222563,2.1786138462984304,1,0.00328789410677921,0.9967121058932208,B2,T2,Chachapoyas
KH0240,573,482,489,0.8534031413612565,2,0.18049792531120332,2.589474308901179,0.6924218186211717,0,0.5036476170349626,0.49635238296503736,B4,T2,Chachapoyas
KH0241,62,49,49,0.7903225806451613,1,0.2653061224489796,1.664100588675687,0.8346482851813829,0,0.6510756830196139,0.34892431698038606,B3,T1,Chachapoyas
KH0242,874,571,770,0.8810068649885584,2,0.4991243432574431,3.6534825508210083,0.7877651884177285,0,0.0,1.2830286302960776,B2,T2,Chachapoyas
KH0243,80,45,48,0.6,2,0.7555555555555555,0.7463869141440896,1.2104354468056115,0,0.6669271851381442,0.33307281486185575,B2,T1,Chachapoyas
KH0244,6,6,6,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B6,T1,Chachapoyas
KH0245,164,149,153,0.9329268292682927,1,0.10067114093959731,4.70932880331983,0.4124862655342356,0,0.5692687070134301,0.4307312929865698,B2,T1,Chachapoyas
KH0246,176,159,160,0.9090909090909091,1,0.1069182389937107,3.0746198459698775,0.5049272314262581,0,0.7030196739688186,0.2969803260311814,B3,T1,Chachapoyas
KH0247,343,176,238,0.6938775510204082,2,0.8125,1.3597218334012584,1.7729087408098603,0,0.28624997775485517,0.7137500222451448,B4,T2,Chachapoyas
KH0248,126,50,75,0.5952380952380952,2,1.08,1.6650197624436314,1.7918407280110185,1,0.0,1.237789950151232,B4,T1,Chachapoyas
KH0249,59,24,47,0.7966101694915254,2,1.2916666666666667,1.4042450877212203,1.6594208586976316,1,0.17818454763385372,0.8218154523661463,B4,T1,Chachapoyas
KH0250,44,23,30,0.6818181818181818,1,0.9130434782608695,0.96421222530079,1.7349112826910293,0,0.5398078015609866,0.4601921984390133,B3,T1,Chachapoyas
