khipu_id,num_nodes,num_edges,avg_degree,max_degree,density,depth,width,avg_branching,num_roots,num_leaves,has_numeric,has_color,avg_numeric_value,std_numeric_value
1000078,10,9,1.8,8,0.1,2,8,4.5,1,8,0.9,0.9,1385324.4444444445,3455180.260483063
1000079,95,94,1.9789473684210526,70,0.010526315789473684,2,70,4.086956521739131,1,72,0.7368421052631579,0.9894736842105263,2424295.9571428574,13392099.364996962
1000080,36,35,1.9444444444444444,35,0.027777777777777776,1,35,35.0,1,35,0.8333333333333334,0.9444444444444444,78565.43333333333,276681.4649035582
1000081,29,28,1.9310344827586208,23,0.034482758620689655,2,23,5.6,1,24,0.9655172413793104,0.9655172413793104,10088722.535714285,29987961.87625655
1000082,17,16,1.8823529411764706,16,0.058823529411764705,1,16,16.0,1,16,0.8823529411764706,0.9411764705882353,29801113.533333335,49050059.67774434
1000083,158,157,1.9873417721518987,104,0.006329113924050633,3,104,3.738095238095238,1,116,0.8607594936708861,0.9810126582278481,829371.6691176471,9492030.599676045
1000084,7,6,1.7142857142857142,6,0.14285714285714285,1,6,6.0,1,6,0.7142857142857143,0.8571428571428571,2444692.0,4354511.671086162
1000085,290,289,1.993103448275862,269,0.0034482758620689655,2,269,13.761904761904763,1,269,0.4827586206896552,0.996551724137931,1703591.8714285714,13212065.693105811
1000086,15,14,1.8666666666666667,14,0.06666666666666667,1,14,14.0,1,14,0.9333333333333333,0.9333333333333333,17239322.35714286,38443102.762326635
1000087,29,28,1.9310344827586208,16,0.034482758620689655,2,16,2.1538461538461537,1,16,0.896551724137931,0.9655172413793104,7.538461538461538,22.099827303938493
1000088,196,195,1.989795918367347,195,0.00510204081632653,1,195,195.0,1,195,0.0,0.0,0.0,0.0
1000089,288,287,1.9930555555555556,146,0.003472222222222222,2,146,2.0211267605633805,1,146,0.7118055555555556,0.9861111111111112,1468677.4292682926,11043679.059375258
1000090,16,15,1.875,11,0.0625,2,11,5.0,1,13,0.625,0.9375,126.4,330.06762943372684
1000091,50,49,1.96,47,0.02,2,47,16.333333333333332,1,47,0.74,0.98,6375868.864864865,25101529.22958628
1000092,14,13,1.8571428571428572,13,0.07142857142857142,1,13,13.0,1,13,0.5714285714285714,0.9285714285714286,15277783.75,36403727.54176699
1000093,24,23,1.9166666666666667,22,0.041666666666666664,2,22,11.5,1,22,0.875,0.9583333333333334,5879533.142857143,23648654.285328053
1000094,286,285,1.993006993006993,181,0.0034965034965034965,3,181,3.313953488372093,1,200,0.9020979020979021,0.9965034965034965,1473171.0,11970955.159012776
1000096,1832,1831,1.9989082969432315,1650,0.0005458515283842794,3,1650,13.268115942028986,1,1694,0.2177947598253275,0.9978165938864629,162612.23308270678,1242342.0760989133
1000097,88,87,1.9772727272727273,54,0.011363636363636364,3,54,3.9545454545454546,1,66,0.8068181818181818,0.9886363636363636,7077508.563380281,25576735.070665248
1000098,50,49,1.96,33,0.02,2,33,4.454545454545454,1,39,0.46,0.98,4.130434782608695,2.7075473872939595
1000099,44,43,1.9545454545454546,43,0.022727272727272728,1,43,43.0,1,43,0.8181818181818182,0.9772727272727273,7.472222222222222,18.02542357509882
1000100,26,25,1.9230769230769231,25,0.038461538461538464,1,25,25.0,1,25,0.8076923076923077,0.9615384615384616,5304.047619047619,23685.09280112139
1000101,29,28,1.9310344827586208,22,0.034482758620689655,2,22,7.0,1,25,0.896551724137931,0.9655172413793104,69.15384615384616,212.68479608379883
1000103,542,541,1.996309963099631,415,0.0018450184501845018,2,415,4.7043478260869565,1,427,0.43911439114391143,0.996309963099631,1.3781512605042017,0.7446345518277554
1000105,13,12,1.8461538461538463,12,0.07692307692307693,1,12,12.0,1,12,0.3076923076923077,0.9230769230769231,4.25,1.479019945774904
1000106,19,18,1.894736842105263,18,0.05263157894736842,1,18,18.0,1,18,0.9473684210526315,0.9473684210526315,3.9444444444444446,2.4374901076089226
1000107,16,15,1.875,15,0.0625,1,15,15.0,1,15,0.875,0.9375,1.5714285714285714,0.82065180664829
1000108,26,25,1.9230769230769231,25,0.038461538461538464,1,25,25.0,1,25,0.8846153846153846,0.9615384615384616,4843.652173913043,22656.29605287543
1000109,11,10,1.8181818181818181,4,0.09090909090909091,3,4,2.5,1,7,0.7272727272727273,0.9090909090909091,157.0,364.5603516566221
1000110,22,21,1.9090909090909092,21,0.045454545454545456,1,21,21.0,1,21,0.8636363636363636,0.9545454545454546,62.63157894736842,248.52135575424495
