kfg_id,provenance_display,n_cords,n_pattern_types,cluster,nn_top_zone,nn_top_weight,nn_zones,nn_dists
KH0068,Unknown,589,7,1,Chachapoyas,0.555,Nazca & Far South|Chachapoyas|Chachapoyas|Cañete–Pisco|Chachapoyas,1.930|2.715|2.715|2.945|3.007
KH0069,Unknown,38,1,0,Ica & Paracas,0.548,Ica & Paracas|Central Coast|Nazca & Far South|Ica & Paracas|Ica & Paracas,0.280|0.301|0.569|0.757|0.792
KH0087,Nazca / Ancon,96,5,0,Nazca & Far South,0.222,Nazca & Far South|Cañete–Pisco|Chachapoyas|Central Coast|Ica & Paracas,1.346|1.411|1.460|1.651|1.652
KH0088,Nazca / Ancon,186,3,1,Central Coast,0.402,Ica & Paracas|Central Coast|Cañete–Pisco|Nazca & Far South|Central Coast,0.774|0.865|1.310|1.393|1.416
KH0089,Nazca / Ancon,16,0,0,Cañete–Pisco,0.58,Ica & Paracas|Cañete–Pisco|Cañete–Pisco|Cañete–Pisco|Cañete–Pisco,0.013|0.027|0.039|0.047|0.051
KH0090,Nazca / Ancon,33,4,0,Central Coast,0.504,Ica & Paracas|Central Coast|Central Coast|Central Coast|Central Coast,0.135|0.365|0.525|0.692|0.692
KH0092,Nazca / Ancon,74,1,0,Central Coast,0.815,Central Coast|Central Coast|Central Coast|Southern Highlands|Central Coast,0.885|1.066|1.122|1.153|1.164
KH0093,Nazca / Ancon,40,2,0,Central Coast,0.593,Central Coast|Ica & Paracas|Ica & Paracas|Central Coast|Central Coast,0.190|0.233|0.282|0.295|0.362
KH0094,Unknown,8,0,0,Central Coast,0.687,Central Coast|Central Coast|Ica & Paracas|Central Coast|Arica & N. Chile,0.039|0.060|0.071|0.095|0.101
KH0095,Unknown,20,0,0,Cañete–Pisco,0.449,Cañete–Pisco|Ica & Paracas|Central Coast|Central Coast|Ica & Paracas,0.058|0.133|0.167|0.244|0.283
KH0096,Unknown,3,0,0,Cañete–Pisco,0.5,Cañete–Pisco|Central Coast|Central Coast|Cañete–Pisco|Cañete–Pisco,0.000|0.000|0.007|0.007|0.013
KH0097,Unknown,319,4,1,Central Coast,0.397,Cañete–Pisco|Central Coast|Central Coast|Nazca & Far South|Nazca & Far South,1.091|1.293|1.351|1.400|1.506
KH0098,Unknown,45,2,0,Ica & Paracas,0.625,Ica & Paracas|Ica & Paracas|Ica & Paracas|Central Coast|Central Coast,1.185|1.400|1.426|1.468|1.486
KH0100,Peru (unknown),97,2,0,Ica & Paracas,0.578,Ica & Paracas|Central Coast|North Peru Coast|Ica & Paracas|Ica & Paracas,0.253|0.276|0.530|0.547|0.562
KH0102,Peru (unknown),35,1,0,Ica & Paracas,0.849,Ica & Paracas|Ica & Paracas|Nazca & Far South|Ica & Paracas|Central Coast,0.084|0.115|0.449|0.516|0.560
KH0103,Peru (unknown),58,4,0,Central Coast,0.654,Central Coast|North Peru Coast|Central Coast|Central Coast|Cañete–Pisco,0.350|0.579|0.808|0.980|1.023
