kfg_id,parent_name,parent_val,children_sum,n_children,n_nonzero_children,n_zero_children,children_mean,children_max,ratio,compliance_class
KH0013,p45,3,0,1,0,1,0.0,0,0.0,children_all_zero
KH0013,p50,1,0,1,0,1,0.0,0,0.0,children_all_zero
KH0013,p57,0,0,1,0,1,0.0,0,,trivial_parent_zero
KH0013,p60,4,0,2,0,2,0.0,0,0.0,children_all_zero
KH0013,p63,11,1,1,1,0,1.0,1,0.09090909090909091,sub
KH0013,p68,3,1,1,1,0,1.0,1,0.3333333333333333,sub
KH0013,p69,5,0,3,0,3,0.0,0,0.0,children_all_zero
KH0013,p72,30,3,1,1,0,3.0,3,0.1,sub
KH0013,p74,5,0,1,0,1,0.0,0,0.0,children_all_zero
KH0013,p75,5,3,3,3,0,1.0,1,0.6,partial_sub
KH0013,p78,6,0,1,0,1,0.0,0,0.0,children_all_zero
KH0013,p79,0,1,1,1,0,1.0,1,,trivial_parent_zero
KH0013,p81,1,1,2,1,1,0.5,1,1.0,compliant
KH0013,p84,24,1,1,1,0,1.0,1,0.041666666666666664,children_all_zero
KH0015,p1,31,96,1,1,0,96.0,96,3.096774193548387,supra
KH0015,p10,72,74,1,1,0,74.0,74,1.0277777777777777,compliant
KH0015,p11,15,19,1,1,0,19.0,19,1.2666666666666666,partial_supra
KH0015,p12,19,21,1,1,0,21.0,21,1.105263157894737,partial_supra
KH0015,p13,60,33,1,1,0,33.0,33,0.55,partial_sub
KH0015,p14,28,16,1,1,0,16.0,16,0.5714285714285714,partial_sub
KH0015,p15,70,9,1,1,0,9.0,9,0.12857142857142856,sub
KH0015,p18,17,19,1,1,0,19.0,19,1.1176470588235294,partial_supra
KH0015,p19,26,51,1,1,0,51.0,51,1.9615384615384615,supra
KH0015,p2,13,70,1,1,0,70.0,70,5.384615384615385,supra
KH0015,p20,22,117,1,1,0,117.0,117,5.318181818181818,supra
KH0015,p21,70,63,1,1,0,63.0,63,0.9,partial_sub
KH0015,p22,100,19,1,1,0,19.0,19,0.19,sub
KH0015,p22s1,19,228,1,1,0,228.0,228,12.0,supra
KH0015,p23,21,52,1,1,0,52.0,52,2.4761904761904763,supra
KH0015,p24,32,56,1,1,0,56.0,56,1.75,supra
