khipu_id,kfg_pp,kfg_ip,kfg_cp,kfg_sp,kfg_gg,kfg_gsb,kfg_is,kfg_psn,kfg_adg,kfg_any,kcat_pp,kcat_ip,kcat_cp,kcat_sp,kcat_gg,kcat_gsb,kcat_is,kcat_psn,kcat_adg,kcat_any,_merge
KH0160,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,both
KH0161,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,both
KH0162,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,both
KH0163,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,both
KH0164,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,both
KH0165,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,both
KH0166,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,both
KH0167,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,both
KH0168,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,both
KH0169,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,both
KH0170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0171,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,both
KH0172,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,both
KH0173,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,both
KH0174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0175,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,both
KH0176,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,both
KH0177,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,both
KH0178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,both
KH0180,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,both
KH0181,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,both
KH0182,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,both
KH0183,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,both
KH0184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0185,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,both
KH0186,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,both
KH0187,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,both
KH0188,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,both
KH0189,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,both
KH0190,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,both
KH0191,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,both
KH0192,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,both
KH0193,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,both
KH0194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0195,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,both
KH0196,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,both
KH0197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0198,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,both
KH0199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0201,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,both
KH0202,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,both
KH0203,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,both
KH0204,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,both
KH0205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,both
KH0207,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,both
KH0208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0210,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,both
KH0211,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,both
KH0212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0216,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,both
KH0217,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,both
KH0218,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,both
KH0219,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,both
KH0220,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,both
KH0221,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,both
KH0222,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,both
KH0223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0224,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,both
KH0225,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,both
KH0226,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,both
KH0227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0228,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,both
KH0229,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,both
KH0230,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,both
KH0231,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,both
KH0232,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,both
KH0233,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,both
KH0234,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,both
KH0235,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,both
KH0236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0237,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,both
KH0238,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,both
KH0239,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,both
KH0240,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,both
KH0241,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,both
KH0242,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,both
KH0243,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,both
KH0244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,both
KH0245,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,both
KH0246,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,both
