color_code,n_entries,pct_entries,n_khipus,pct_khipus
VB(5.0-7.0)/W(7.0-33.0),2,0.0026226756537019065,1,0.14104372355430184
DB(0.0-3.0)/W(3.0-29.5),2,0.0026226756537019065,1,0.14104372355430184
KB(0.0-3.0)/W(3.0-33.0),2,0.0026226756537019065,1,0.14104372355430184
AB-G,2,0.0026226756537019065,2,0.2820874471086037
DB(0.0-3.5)/W(3.5-30.0),2,0.0026226756537019065,1,0.14104372355430184
KB(0.0-8.0)/W,2,0.0026226756537019065,2,0.2820874471086037
MB(0.0-12.0)/AB,2,0.0026226756537019065,1,0.14104372355430184
DB(0.0-2.5)/W(2.5-44.5),2,0.0026226756537019065,1,0.14104372355430184
W(0.0-5.0)/W-SR(5.0-7.0)/W(7.0-37.5),2,0.0026226756537019065,1,0.14104372355430184
DB(0.0-5.0)/BS,2,0.0026226756537019065,1,0.14104372355430184
DB(0.0-2.5)/W(2.5-38.0),2,0.0026226756537019065,1,0.14104372355430184
AB(0.0-21.0)/W,2,0.0026226756537019065,2,0.2820874471086037
W(0.0-5.0)/W-SR(5.0-7.0)/W(7.0-33.0),2,0.0026226756537019065,1,0.14104372355430184
DB(0.0-2.5)/W(2.5-37.5),2,0.0026226756537019065,1,0.14104372355430184
YB(0.0-4.1)/PG(4.1-15.25),2,0.0026226756537019065,2,0.2820874471086037
DB(0.0-2.5)/W(2.5-37.0),2,0.0026226756537019065,1,0.14104372355430184
B-G,2,0.0026226756537019065,1,0.14104372355430184
MB(10.0-32.5),2,0.0026226756537019065,1,0.14104372355430184
YB(0.0-34.0)/YB,2,0.0026226756537019065,1,0.14104372355430184
W(0.0-7.5)/W,2,0.0026226756537019065,2,0.2820874471086037
YB(0.0-38.0)/YB,2,0.0026226756537019065,1,0.14104372355430184
KB(0.0-6.0)/W(6.0-29.0),2,0.0026226756537019065,2,0.2820874471086037
B-KB,2,0.0026226756537019065,2,0.2820874471086037
