cord_id,kfg_id,cord_name,hierarchy_level,value_num,primary_color,is_banded,attachment,twist,beh_label,typology_label
206,KH0001,p59,0,55,W,False,V,Z,B4,T1
207,KH0001,p59s1,1,30,W,False,U,Z,B4,T1
208,KH0001,p60,0,123,W,False,V,Z,B4,T1
209,KH0001,p60s1,1,121,W,True,U,Z,B4,T1
210,KH0001,p61,0,78,W,False,V,Z,B4,T1
211,KH0001,p61s1,1,77,W(0.0-5.0)/W-VR(5.0-41.0),False,U,Z,B4,T1
212,KH0001,p62,0,10,W,False,V,Z,B4,T1
213,KH0001,p62s1,1,87,W,False,U,Z,B4,T1
214,KH0001,p63,0,28,W,False,V,Z,B4,T1
215,KH0001,p63s1,1,22,W,False,U,Z,B4,T1
216,KH0001,p64,0,84,W,False,V,Z,B4,T1
217,KH0001,p64s1,1,19,W,False,U,Z,B4,T1
218,KH0001,p65,0,79,W,False,V,Z,B4,T1
219,KH0001,p65s1,1,54,W,False,U,Z,B4,T1
220,KH0001,p66,0,56,W,False,V,Z,B4,T1
221,KH0001,p67,0,24,W,False,V,Z,B4,T1
222,KH0001,p67s1,1,42,W,False,U,Z,B4,T1
223,KH0001,p68,0,53,W,True,V,Z,B4,T1
224,KH0001,p68s1,1,88,W,False,U,Z,B4,T1
225,KH0001,p69,0,48,W,False,V,Z,B4,T1
226,KH0001,p70,0,30,W,False,V,Z,B4,T1
227,KH0001,p71,0,161,W,False,V,Z,B4,T1
228,KH0001,p71s1,1,110,W,False,U,Z,B4,T1
229,KH0001,p71s1s1,2,31,W,True,U,Z,B4,T1
230,KH0001,p71s1s1s1,3,13,PB,True,U,Z,B4,T1
231,KH0001,p72,0,77,W,False,V,Z,B4,T1
232,KH0001,p72s1,1,87,W,True,U,Z,B4,T1
233,KH0001,p72s1s1,2,80,W,False,U,Z,B4,T1
234,KH0001,p73,0,46,W,False,V,Z,B4,T1
235,KH0001,p74,0,85,W,False,V,Z,B4,T1
236,KH0001,p74s1,1,63,W,True,U,Z,B4,T1
237,KH0001,p75,0,223,W,False,V,Z,B4,T1
238,KH0001,p75s1,1,63,W,True,U,Z,B4,T1
239,KH0001,p76,0,36,W,False,V,Z,B4,T1
240,KH0001,p76s1,1,100,W,False,U,Z,B4,T1
241,KH0001,p77,0,19,W,False,V,Z,B4,T1
242,KH0001,p78,0,21,W,False,V,Z,B4,T1
243,KH0001,p79,0,42,W,False,V,Z,B4,T1
244,KH0001,p79s1,1,91,W,True,U,Z,B4,T1
245,KH0001,p80,0,125,W,False,V,Z,B4,T1
