kfg_id,typology_label,geo_zone,provenance_display,beh_cluster,beh_label,value_register,pct_nonzero,pct_round5,entropy_per_cord,max_hier_level,knot_L_ratio,knot_E_ratio,has_pp,has_ip,has_cp,has_sp,has_gg,has_gsb,has_is,has_psn,has_adg
KH0617,T2,Cañete–Pisco,Incahuasi,3,B4,8.0,0.5133689839572193,0.3697916666666667,0.020980751802164133,4,0.43478260869565216,0.1608695652173913,1,1,1,1,1,0,1,1,0
KH0618,T1,Cañete–Pisco,Incahuasi,3,B4,2.5,0.7301587301587301,0.14130434782608695,0.03379038478612231,3,0.5510204081632653,0.2857142857142857,1,0,1,1,0,1,0,1,0
KH0619,T1,Cañete–Pisco,Incahuasi,1,B2,2.0,0.7333333333333333,0.0,0.05487318303385507,0,0.02857142857142857,0.9714285714285714,0,0,0,0,0,1,0,0,1
KH0620,T1,Cañete–Pisco,Incahuasi,3,B4,4.0,0.7307692307692307,0.22807017543859648,0.0635233697808244,2,0.4931506849315068,0.273972602739726,1,1,0,1,0,0,0,1,0
KH0621,T1,Cañete–Pisco,Incahuasi,1,B2,1.0,1.0,0.0,0.015304930567574824,1,0.3333333333333333,0.6666666666666666,0,0,0,0,0,0,0,0,0
KH0622,T1,Cañete–Pisco,Incahuasi,2,B3,3.0,0.7,0.0,0.1969690704980251,0,1.0,0.0,0,0,0,0,0,1,0,0,1
KH0623,T1,Cañete–Pisco,Incahuasi,1,B2,1.0,0.8888888888888888,0.0,0.0,0,0.0,1.0,0,0,0,0,0,0,0,0,0
KH0624,T1,Cañete–Pisco,Incahuasi,4,B5,69.0,1.0,0.0,0.2741901188909338,0,0.5,0.0,0,0,0,0,0,0,0,0,1
KH0625,T1,Cañete–Pisco,Incahuasi,5,B6,355.0,0.3076923076923077,0.75,0.5,1,0.125,0.0,0,0,0,0,0,0,0,0,0
KH0626,T1,Cañete–Pisco,Incahuasi,4,B5,11.0,1.0,0.0,0.430827083453526,1,0.6666666666666666,0.0,0,0,0,0,0,0,0,0,1
KH0627,T1,Cañete–Pisco,Incahuasi,5,B6,630.0,1.0,1.0,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0
KH0628,T1,Cañete–Pisco,Incahuasi,5,B6,600.0,0.6363636363636364,0.7142857142857143,0.3040121826987706,1,0.1875,0.0,0,0,0,0,0,0,1,0,0
KH0629,T1,Cañete–Pisco,Incahuasi,1,B2,1.0,0.625,0.0,0.1326598730309525,2,0.4666666666666667,0.5333333333333333,0,0,0,0,0,0,0,0,0
KH0630,T1,Cañete–Pisco,Incahuasi,3,B4,9.0,0.5135135135135135,0.15789473684210525,0.08564587226385167,3,0.44642857142857145,0.2857142857142857,1,0,0,1,0,0,0,1,0
KH0631,T1,,Unknown,5,B6,212.0,0.5909090909090909,0.38461538461538464,0.2846492090877764,0,0.2702702702702703,0.0,0,0,0,0,0,0,0,0,1
KH0632,T1,,Unknown,5,B6,428.5,1.0,0.2857142857142857,0.27195392300411453,0,0.26666666666666666,0.0,0,0,0,0,0,0,0,0,0
KH0633,T1,,Unknown,3,B4,4.0,0.835820895522388,0.08928571428571429,0.06223978296529925,3,0.6666666666666666,0.1746031746031746,1,0,1,1,0,0,0,1,1
KH0634,T1,,Unknown,3,B4,9.5,0.9047619047619048,0.2631578947368421,0.10735102046695955,2,0.4423076923076923,0.19230769230769232,1,0,0,1,0,0,0,0,0
KH0635,T1,,Unknown,3,B4,8.5,0.5903614457831325,0.20408163265306123,0.044904266391440115,2,0.4580152671755725,0.183206106870229,1,1,1,1,0,0,1,1,0
KH0653,T1,Cañete–Pisco,Huacones,4,B5,19.0,0.625,0.3,0.2721928094887362,1,0.5294117647058824,0.0,1,0,0,1,0,0,0,0,1
KH0654,T1,Cañete–Pisco,Huacones,4,B5,16.0,1.0,0.1,0.3121928094887363,1,0.4444444444444444,0.1111111111111111,0,0,0,0,0,0,0,0,0
