khipu_id,wm_load,chunks_required,n_boundaries,boundary_reduction,exceeds_capacity,depth,num_cords,avg_branching
1000047,12.60447561670912,10.142857142857142,12,1.1101319154423277,True,2.0,71,2.4482758620689653
1000048,6.121602133046109,3.0,21,1.3378294855911892,False,1.0,21,21.0
1000049,5.388869037640092,3.142857142857143,12,1.1101319154423277,False,2.0,22,2.2
1000050,14.358141904060439,7.714285714285714,0,0.0,True,2.0,54,9.0
1000051,9.049747738465662,4.142857142857143,0,0.0,False,1.0,29,29.0
1000052,12.57449998250707,6.0,22,1.357068586817104,False,3.0,42,5.25
1000053,49.16992500144231,41.0,0,0.0,True,1.0,287,287.0
1000054,5.9317650530879895,2.857142857142857,20,1.3176952268336282,False,1.0,20,20.0
1000055,4.627572381653847,1.5714285714285714,1,0.3,False,2.0,11,2.2
1000056,10.584058278084816,6.0,6,0.8422064766172812,False,1.0,42,42.0
1000057,28.526681559682014,23.285714285714285,132,2.1165847306503567,True,1.0,163,163.0
1000058,10.358490494351617,7.571428571428571,19,1.2965784284662087,True,2.0,53,3.117647058823529
1000059,6.616203715833246,2.142857142857143,4,0.6965784284662087,False,2.0,15,5.0
1000060,7.335666926141741,3.857142857142857,14,1.1720671786825556,False,3.0,27,1.9285714285714288
1000061,5.610896782498619,1.0,3,0.6,False,3.0,7,2.333333333333333
1000062,5.735408032282272,1.0,2,0.4754887502163468,False,3.0,7,2.333333333333333
1000063,57.995627449634476,51.0,41,1.6176952268336282,True,2.0,357,18.789473684210527
1000064,7.174098357969233,3.2857142857142856,4,0.6965784284662087,False,1.0,23,23.0
1000065,19.399269167951477,14.428571428571429,50,1.7017276025914485,True,1.0,101,101.0
1000066,3.1,1.0,7,0.8999999999999999,False,1.0,7,7.0
1000067,7.195435298143548,1.8571428571428572,2,0.4754887502163468,False,2.0,13,6.5
1000068,3.361804643866761,1.1428571428571428,8,0.9509775004326936,False,1.0,8,8.0
1000069,4.557142857142857,0.8571428571428571,1,0.3,False,2.0,6,3.0
1000070,5.116213414101466,1.5714285714285714,7,0.8999999999999999,False,2.0,11,3.6666666666666665
1000071,12.589009028984112,7.857142857142857,11,1.0754887502163468,True,1.0,55,55.0
1000072,4.889009028984114,1.8571428571428572,5,0.7754887502163468,False,1.0,13,13.0
1000073,4.856391072149727,1.5714285714285714,1,0.3,False,1.0,11,11.0
1000074,8.479427665951244,2.857142857142857,19,1.2965784284662087,False,2.0,20,10.0
1000075,4.327572381653847,1.5714285714285714,3,0.6,False,2.0,11,2.2
1000076,11.214104962318586,5.142857142857143,0,0.0,False,2.0,36,7.2
1000077,52.29030822280128,40.142857142857146,140,2.141865405719638,True,2.0,281,140.5
1000078,6.20457752298888,1.2857142857142858,0,0.0,False,2.0,9,4.5
1000079,16.784347470033023,13.428571428571429,21,1.3378294855911892,True,2.0,94,4.086956521739131
1000080,8.759793085999984,5.0,25,1.4101319154423275,False,1.0,35,35.0
1000081,8.334800133499854,4.0,12,1.1101319154423277,False,2.0,28,5.6
1000082,5.1731771269646245,2.2857142857142856,15,1.2,False,1.0,16,16.0
1000083,27.961493021866094,22.428571428571427,15,1.2,True,3.0,157,3.738095238095238
1000084,3.3644977792004616,0.8571428571428571,1,0.3,False,1.0,6,6.0
1000085,47.240010014897706,41.285714285714285,65,1.813318235807536,True,2.0,289,13.761904761904765
1000086,5.21031216714231,2.0,4,0.6965784284662087,False,1.0,14,14.0
1000087,6.838735822737635,4.0,2,0.4754887502163468,False,2.0,28,2.1538461538461537
1000088,35.471852701258065,27.857142857142858,0,0.0,True,1.0,195,195.0
1000089,42.13277913745146,41.0,115,2.0573942985382714,True,2.0,287,2.0211267605633805
1000090,7.012782144299455,2.142857142857143,1,0.3,False,2.0,15,5.0
1000091,14.234376006373664,7.0,9,0.9965784284662086,False,2.0,49,16.333333333333332
1000092,4.764497779200461,1.8571428571428572,7,0.8999999999999999,False,1.0,13,13.0
1000093,9.62244916483104,3.2857142857142856,8,0.9509775004326936,False,2.0,23,11.5
1000094,45.19639344419043,40.714285714285715,70,1.8449241358514046,True,3.0,285,3.313953488372093
1000096,269.88325280957537,261.57142857142856,1596,3.1923445792233696,True,3.0,1831,13.268115942028986
1000097,17.604962542740893,12.428571428571429,56,1.7498670042494224,True,3.0,87,3.954545454545455
1000098,10.53784936712534,7.0,22,1.357068586817104,False,2.0,49,4.454545454545454
1000099,10.226800011278094,6.142857142857143,23,1.3754887502163469,False,1.0,43,43.0
1000100,7.129661812952382,3.5714285714285716,13,1.1422064766172813,False,1.0,25,25.0
1000101,8.773761147624898,4.0,16,1.2262388523751018,False,2.0,28,7.0
1000103,80.12145196839423,77.28571428571429,156,2.188386224667488,True,2.0,541,4.7043478260869565
1000105,5.414725432426806,1.7142857142857142,0,0.0,False,1.0,12,12.0
1000106,6.519356084872157,2.5714285714285716,1,0.3,False,1.0,18,18.0
1000107,5.191879642424449,2.142857142857143,8,0.9509775004326936,False,1.0,15,15.0
1000108,7.129661812952382,3.5714285714285716,13,1.1422064766172813,False,1.0,25,25.0
1000109,6.00842971812696,1.4285714285714286,6,0.8422064766172812,False,3.0,10,2.5
1000110,6.3839428684209505,3.0,11,1.0754887502163468,False,1.0,21,21.0
1000111,6.1968192574944085,1.5714285714285714,5,0.7754887502163468,False,2.0,11,5.5
1000112,2.593356666315934,0.5714285714285714,1,0.3,False,1.0,4,4.0
1000113,10.169925001442312,5.0,0,0.0,False,1.0,35,35.0
1000114,7.524511249783653,2.0,2,0.4754887502163468,False,2.0,14,7.0
1000115,35.5260972879404,27.142857142857142,0,0.0,True,2.0,190,17.272727272727273
1000116,5.9317650530879895,2.857142857142857,20,1.3176952268336282,False,1.0,20,20.0
1000117,5.1689423566464665,2.5714285714285716,11,1.0754887502163468,False,2.0,18,2.571428571428572
1000118,9.239910596101161,4.285714285714286,0,0.0,False,1.0,30,30.0
1000119,13.177354193825671,8.857142857142858,45,1.6570685868171038,True,1.0,62,62.0
1000120,22.765535477916607,12.857142857142858,0,0.0,True,2.0,90,30.0
1000121,24.152782893234416,17.571428571428573,0,0.0,True,2.0,123,8.785714285714286
1000122,6.819356084872156,2.5714285714285716,0,0.0,False,1.0,18,18.0
1000123,7.2494602799216175,2.857142857142857,0,0.0,False,1.0,20,20.0
1000124,22.820178962415188,16.0,0,0.0,True,1.0,112,112.0
1000125,10.794247356834882,5.857142857142857,16,1.2262388523751018,False,3.0,41,3.1538461538461537
1000126,10.785990305196691,6.714285714285714,20,1.3176952268336282,False,3.0,47,2.473684210526316
1000127,20.66901686787628,16.857142857142858,20,1.3176952268336282,True,2.0,118,4.916666666666667
1000128,8.378018057968228,5.714285714285714,8,0.9509775004326936,False,2.0,40,2.5
1000129,2.4285714285714284,0.42857142857142855,0,0.0,False,1.0,3,3.0
1000130,4.38659372199647,1.2857142857142858,1,0.3,False,2.0,9,2.25
1000131,14.103869552697637,9.285714285714286,16,1.2262388523751018,True,1.0,65,65.0
1000132,6.48828295350168,4.857142857142857,34,1.5387849050834899,False,2.0,34,2.0
1000133,5.7815265992809675,2.5714285714285716,10,1.0378294855911891,False,1.0,18,18.0
1000134,4.3127821442994545,1.1428571428571428,0,0.0,False,1.0,8,8.0
1000135,5.8976883767482775,2.2857142857142856,2,0.4754887502163468,False,1.0,16,16.0
1000136,2.9992482150068707,0.7142857142857143,1,0.3,False,1.0,5,5.0
1000137,11.573104847398001,3.857142857142857,0,0.0,False,2.0,27,13.5
1000138,7.488046861910614,4.714285714285714,16,1.2262388523751018,False,2.0,33,3.0
1000139,8.1,3.0,7,0.8999999999999999,False,2.0,21,7.0
1000140,56.848285812109566,51.714285714285715,71,1.8509775004326936,True,3.0,362,4.022222222222222
1000141,3.6566648801689547,1.2857142857142858,8,0.9509775004326936,False,1.0,9,9.0
1000142,6.819356084872156,2.5714285714285716,0,0.0,False,1.0,18,18.0
1000143,9.239910596101161,4.285714285714286,0,0.0,False,1.0,30,30.0
1000144,24.46982388268904,17.857142857142858,13,1.1422064766172813,True,3.0,125,5.0
1000145,10.229450864853613,3.4285714285714284,3,0.6,False,2.0,24,12.0
1000146,13.792309121875311,8.428571428571429,29,1.4720671786825557,True,4.0,59,2.269230769230769
1000147,54.51742548468202,48.285714285714285,90,1.952338392059609,True,4.0,338,3.1296296296296298
1000148,49.682447924024906,43.285714285714285,98,1.9888069860238828,True,3.0,303,5.941176470588236
1000149,5.542857142857143,2.142857142857143,3,0.6,False,1.0,15,15.0
1000150,11.289135857248077,4.285714285714286,9,0.9965784284662086,False,2.0,30,15.0
