khipu_id,deviation_type,numeric_deviation,structural_deviation,chromatic_deviation,deviation_count,anomaly_score,is_anomaly,n_colors,color_entropy
1000579,none,False,False,False,0,-0.4461897357028477,False,3,0.9864267282980339
1000580,none,False,False,False,0,-0.3416780130309106,False,2,0.8812908989421536
1000581,structural,False,True,False,1,-0.355304071197117,False,4,1.0563280657906162
1000582,structural,False,True,False,1,-0.3692681760100752,False,3,1.583773078731643
1000583,none,False,False,False,0,-0.3439186261334185,False,3,1.1765468332100326
1000584,none,False,False,False,0,-0.3564510719619199,False,6,2.1257703736593223
1000585,none,False,False,False,0,-0.3637688000320948,False,3,1.1302781868886649
1000586,none,False,False,False,0,-0.407619412786461,False,5,1.6200591303345842
1000587,none,False,False,False,0,-0.3448787699787073,False,4,1.6372795495437982
1000588,structural,False,True,False,1,-0.4922748029179177,False,4,0.8960663700297561
1000589,none,False,False,False,0,-0.3605570318524792,False,6,2.228493069498941
1000590,none,False,False,False,0,-0.3671711280459659,False,6,2.2504069892254055
1000591,none,False,False,False,0,-0.3615574156695395,False,12,2.777797571631504
1000592,none,False,False,False,0,-0.3725015910894482,False,3,1.0172684563030177
1000593,structural,False,True,False,1,-0.435371910287606,False,5,1.618670100328623
1000595,numeric,True,False,False,1,-0.6155438375244514,False,2,0.9709505941661296
1000597,none,False,False,False,0,-0.3712622354839443,False,3,0.3603918221115593
1000598,none,False,False,False,0,-0.4109270508146324,False,3,0.7425964699996881
1000599,none,False,False,False,0,-0.3601484690425411,False,3,1.089670241103623
1000600,none,False,False,False,0,-0.3588720028053875,False,2,0.3372900663284749
1000601,none,False,False,False,0,-0.3558719158308674,False,3,0.4889660437053888
1000602,none,False,False,False,0,-0.3663173643847517,False,2,0.3372900663284749
1000603,structural,False,True,False,1,-0.5511762630982412,False,10,1.8176749612515366
1000604,none,False,False,False,0,-0.4834399438454062,False,7,2.1247052526509838
1000605,none,False,False,False,0,-0.4438692927865512,False,9,2.4170005732793567
1000606,none,False,False,False,0,-0.3659896541055102,False,2,0.9957274517963866
1000607,none,False,False,False,0,-0.413732333348789,False,13,2.810801692535195
1000608,none,False,False,False,0,-0.3627258123898012,False,2,0.9681647317874156
1000609,none,False,False,False,0,-0.404804605787281,False,4,1.4758598054493257
1000610,none,False,False,False,0,-0.4870893822468544,False,8,2.0696353232352496
1000611,none,False,False,False,0,-0.516366589517875,False,7,2.138218570299924
1000612,none,False,False,False,0,-0.4491649302439545,False,6,1.8170587817996975
