khipu_id,deviation_type,numeric_deviation,structural_deviation,chromatic_deviation,deviation_count,anomaly_score,is_anomaly,n_colors,color_entropy,num_nodes,depth,avg_branching,density,anomaly_cluster
1000419,hybrid,False,True,True,2,-0.4618312882810033,False,2,0.12229159678083568,97,1,96.0,0.0103092783505154,3
1000429,structural,False,True,False,1,-0.4191304491585516,False,3,1.105612400108607,28,1,27.0,0.0357142857142857,3
1000436,chromatic,False,False,True,1,-0.3710254435065525,False,8,2.492986052267649,137,2,6.181818181818182,0.0072992700729927,5
1000437,chromatic,False,False,True,1,-0.3560406766886831,False,2,0.7706290690754014,36,2,4.375,0.0277777777777777,3
1000438,structural,False,True,False,1,-0.3837443104006481,False,2,0.7024665510018513,23,1,22.0,0.0434782608695652,3
1000443,structural,False,True,False,1,-0.4135410380877607,False,7,2.749999998990113,8,2,3.5,0.125,1
1000444,structural,False,True,False,1,-0.4256825418005234,False,6,2.0275385567818884,56,1,55.0,0.0178571428571428,3
1000453,structural,False,True,False,1,-0.4139561929517902,False,5,1.553814656315051,34,1,33.0,0.0294117647058823,3
1000454,structural,False,True,False,1,-0.3708026169514876,False,2,0.3912435633407166,40,1,39.0,0.025,3
1000457,structural,False,True,False,1,-0.5115946788402785,False,0,0.0,58,1,57.0,0.0172413793103448,1
1000459,structural,False,True,False,1,-0.5257254464977789,False,0,0.0,90,1,89.0,0.0111111111111111,2
1000460,structural,False,True,False,1,-0.4926271883835947,False,0,0.0,22,1,21.0,0.0454545454545454,1
1000461,structural,False,True,False,1,-0.5757856464693698,False,0,0.0,161,1,160.0,0.0062111801242236,2
1000462,structural,False,True,False,1,-0.4977123044293347,False,0,0.0,46,1,45.0,0.0217391304347826,1
1000463,structural,False,True,False,1,-0.5532925107851479,False,0,0.0,121,1,120.0,0.0082644628099173,2
1000472,hybrid,True,False,True,2,-0.5451159792008856,False,5,1.0836612770460465,226,4,2.8125,0.0044247787610619,5
1000478,structural,False,True,False,1,-0.3961547648217912,False,2,0.16866093120813122,41,1,40.0,0.024390243902439,3
1000479,structural,False,True,False,1,-0.3586024476837456,False,3,1.4819007242487554,29,1,28.0,0.0344827586206896,3
1000482,structural,False,True,False,1,-0.3575210858295485,False,7,1.9253821075117477,31,1,30.0,0.032258064516129,3
1000483,structural,False,True,False,1,-0.3743606398482649,False,5,2.2565647614096065,13,2,1.7142857142857142,0.0769230769230769,5
1000487,structural,False,True,False,1,-0.3900785723665286,False,8,2.47391566839037,34,1,33.0,0.0294117647058823,3
1000492,structural,False,True,False,1,-0.3908655315117764,False,6,1.3549245992349521,69,1,68.0,0.0144927536231884,3
